Date, Open, High, Low, Close, Volume,ticker
12/24/20,17.8,17.92,17.67,17.77,1946680,VTRS
12/23/20,17.747,18.04,17.66,17.88,6303385,VTRS
12/22/20,17.43,17.84,17.27,17.74,11415470,VTRS
12/21/20,17.4,17.55,17.25,17.39,14799820,VTRS
12/18/20,17.7,17.8,17.515,17.75,18226279,VTRS
12/17/20,17.75,17.89,17.55,17.72,14484980,VTRS
12/16/20,17.62,18.27,17.56,17.86,17203789,VTRS
12/15/20,17.4,17.87,17.2,17.73,13189110,VTRS
12/14/20,17.34,17.53,17.08,17.33,16694061,VTRS
12/11/20,17.5,17.75,17.08,17.34,15842670,VTRS
12/10/20,17.32,17.85,17.3,17.69,9422490,VTRS
12/09/20,17.85,17.975,17.5,17.52,12701880,VTRS
12/08/20,17.41,17.93,17.405,17.84,9303086,VTRS
12/07/20,17.61,18.0,17.52,17.57,10008660,VTRS
12/04/20,17.33,17.7,17.25,17.6,15946920,VTRS
12/03/20,17.136,17.47,16.94,17.37,16848381,VTRS
12/02/20,16.934,17.27,16.84,17.125,22173221,VTRS
12/01/20,16.88,17.15,16.74,17.01,15395750,VTRS
11/30/20,17.03,17.16,16.8,16.82,21166330,VTRS
11/27/20,17.1,17.37,16.9,17.05,11024660,VTRS
11/25/20,16.68,17.31,16.55,17.07,15353780,VTRS
11/24/20,16.735,17.0,16.29,16.9,23106160,VTRS
11/23/20,17.236,17.25,16.5,16.77,20717971,VTRS
11/20/20,18.4,18.42,17.0,17.13,38015406,VTRS
11/19/20,16.0,18.2,15.99,18.11,35794059,VTRS
11/18/20,16.46,16.99,15.95,16.19,31517439,VTRS
11/17/20,15.39,17.93,15.3,16.34,60532941,VTRS
11/16/20,15.64,16.15,15.34,15.855,26574170,VTRS
11/13/20,15.54,15.72,15.3,15.55,8509515,VTRS
11/12/20,15.63,15.695,15.25,15.51,12548350,VTRS
11/11/20,15.71,16.1,15.43,15.7,9762900,VTRS
11/10/20,15.22,16.0,15.1,15.64,18171859,VTRS
11/09/20,15.34,15.77,15.03,15.12,11475180,VTRS
11/06/20,15.47,15.47,14.465,14.65,9524476,VTRS
11/05/20,15.11,15.61,14.98,15.14,14470160,VTRS
11/04/20,15.3,15.52,14.93,15.075,10301570,VTRS
11/03/20,15.3,15.51,15.11,15.14,6771539,VTRS
11/02/20,14.79,15.14,14.6,15.14,7260684,VTRS
10/30/20,14.38,14.89,14.335,14.54,9155620,VTRS
10/29/20,14.1,14.5,14.001,14.37,3548552,VTRS
10/28/20,14.24,14.37,14.015,14.3,4895649,VTRS
10/27/20,14.77,15.04,14.42,14.46,3671688,VTRS
10/26/20,15.51,15.52,14.865,15.05,3514760,VTRS
10/23/20,15.75,15.8,15.44,15.69,2598019,VTRS
10/22/20,15.21,15.73,15.08,15.6,3537048,VTRS
10/21/20,15.08,15.53,15.08,15.14,3117870,VTRS
10/20/20,15.66,15.81,15.25,15.31,2838483,VTRS
10/19/20,15.73,15.805,15.39,15.42,3189995,VTRS
10/16/20,15.82,16.08,15.58,15.71,7066228,VTRS
10/15/20,15.39,15.75,15.26,15.735,2571993,VTRS
10/14/20,15.58,15.865,15.53,15.55,3042984,VTRS
10/13/20,15.72,15.85,15.445,15.59,3709350,VTRS
10/12/20,15.82,16.0,15.67,15.98,3196672,VTRS
10/09/20,15.87,15.97,15.47,15.64,3447702,VTRS
10/08/20,15.08,15.76,14.92,15.72,5484716,VTRS
10/07/20,14.96,15.2099,14.85,14.91,6188503,VTRS
10/06/20,15.17,15.3,14.825,14.87,4125860,VTRS
10/05/20,15.06,15.33,14.97,15.09,6272201,VTRS
10/02/20,14.64,15.16,14.59,14.89,4188342,VTRS
10/01/20,14.84,15.22,14.705,14.8,4538872,VTRS
09/30/20,14.6,14.99,14.59,14.83,3344608,VTRS
09/29/20,14.63,14.9,14.54,14.57,3163600,VTRS
09/28/20,14.64,14.84,14.57,14.64,4504367,VTRS
09/25/20,14.11,14.475,14.09,14.42,2902288,VTRS
09/24/20,14.29,14.425,14.02,14.21,4530547,VTRS
09/23/20,14.82,14.875,14.31,14.37,5600733,VTRS
09/22/20,14.75,14.95,14.485,14.82,5311106,VTRS
09/21/20,15.45,15.46,14.61,14.78,6813417,VTRS
09/18/20,16.16,16.19,15.61,15.73,6494076,VTRS
09/17/20,15.86,16.22,15.61,16.16,3781241,VTRS
09/16/20,16.02,16.22,15.4,16.0,8703895,VTRS
09/15/20,15.87,16.225,15.7,15.95,3920636,VTRS
09/14/20,15.46,15.835,15.285,15.77,4235022,VTRS
09/11/20,15.15,15.62,15.05,15.33,5763892,VTRS
09/10/20,15.27,15.435,15.02,15.06,6296339,VTRS
09/09/20,15.69,15.73,15.06,15.25,7411246,VTRS
09/08/20,15.81,15.91,15.53,15.635,5113455,VTRS
09/04/20,15.64,15.92,15.39,15.81,8787742,VTRS
09/03/20,15.76,16.205,15.35,15.46,5809821,VTRS
09/02/20,15.5,15.885,15.33,15.71,5851261,VTRS
09/01/20,16.3,16.34,15.42,15.5,9444070,VTRS
08/31/20,16.2,16.505,16.01,16.38,5010576,VTRS
08/28/20,16.16,16.26,16.055,16.23,2333849,VTRS
08/27/20,16.32,16.46,16.15,16.18,3048884,VTRS
08/26/20,15.97,16.47,15.88,16.31,4717527,VTRS
08/25/20,16.49,16.535,15.925,16.03,5186212,VTRS
08/24/20,16.043,16.36,15.97,16.33,5328674,VTRS
08/21/20,16.36,16.44,15.85,15.99,5361453,VTRS
08/20/20,16.33,16.45,16.09,16.34,5958575,VTRS
08/19/20,16.23,17.03,16.16,16.51,6349164,VTRS
08/18/20,16.38,16.41,15.99,16.19,6874828,VTRS
08/17/20,16.23,16.515,15.95,16.25,3282227,VTRS
08/14/20,16.0,16.3,15.91,16.19,4435536,VTRS
08/13/20,16.23,16.55,16.045,16.14,4371822,VTRS
08/12/20,16.7,16.81,16.065,16.18,4920823,VTRS
08/11/20,16.6,16.86,16.56,16.64,5807733,VTRS
08/10/20,16.36,16.57,16.265,16.36,2160417,VTRS
08/07/20,16.21,16.42,16.005,16.355,3873739,VTRS
08/06/20,17.26,17.69,16.145,16.42,5959912,VTRS
08/05/20,16.42,17.13,16.23,16.9,6507184,VTRS
08/04/20,16.42,16.57,16.25,16.32,3744797,VTRS
08/03/20,16.16,16.47,15.95,16.36,3025381,VTRS
