Date, Open, High, Low, Close, Volume,ticker
12/24/20,73.3,73.42,72.13,73.31,218199,WAB
12/23/20,72.49,73.23,71.47,72.86,952005,WAB
12/22/20,73.0,73.2,71.87,72.21,789504,WAB
12/21/20,71.74,73.19,71.56,73.0,901995,WAB
12/18/20,73.5,73.82,72.51,73.44,1773317,WAB
12/17/20,74.38,74.38,72.74,73.53,1160712,WAB
12/16/20,74.74,74.8,73.19,73.65,1078087,WAB
12/15/20,74.15,74.99,73.8,74.69,1533487,WAB
12/14/20,75.48,76.0,73.21,73.26,1218919,WAB
12/11/20,75.0,75.49,74.36,74.85,731388,WAB
12/10/20,75.82,76.5,75.21,75.4,1161832,WAB
12/09/20,76.55,77.17,75.67,76.5,1146989,WAB
12/08/20,75.56,76.87,75.47,76.51,1716144,WAB
12/07/20,75.48,75.88,74.7,75.68,1551560,WAB
12/04/20,73.85,75.63,73.85,75.53,1034370,WAB
12/03/20,73.02,73.53,72.52,73.13,774561,WAB
12/02/20,72.0,72.78,71.74,72.58,771029,WAB
12/01/20,74.8,74.84,72.2,72.3,1612652,WAB
11/30/20,73.3,73.63,72.39,73.3,1514324,WAB
11/27/20,73.73,74.43,73.25,73.82,701143,WAB
11/25/20,75.43,75.61,73.93,74.09,720841,WAB
11/24/20,74.57,77.22,74.2101,76.21,2279919,WAB
11/23/20,71.36,73.56,71.295,73.55,809009,WAB
11/20/20,72.04,72.275,70.4,70.98,1030539,WAB
11/19/20,71.97,72.555,71.16,72.35,1033747,WAB
11/18/20,71.69,73.29,71.27,72.63,1678906,WAB
11/17/20,70.44,71.8,69.94,71.39,1269348,WAB
11/16/20,72.5,72.9,70.89,71.57,2342247,WAB
11/13/20,68.86,70.09,68.53,69.59,1959289,WAB
11/12/20,67.27,68.47,67.01,67.93,1383242,WAB
11/11/20,69.54,69.54,67.17,68.11,1033635,WAB
11/10/20,68.93,69.69,67.985,69.01,3502916,WAB
11/09/20,66.54,76.11,64.87,68.61,4953792,WAB
11/06/20,62.23,62.59,60.95,61.13,2418637,WAB
11/05/20,62.55,63.95,62.2,62.4,1790016,WAB
11/04/20,64.77,64.85,61.71,61.71,2202010,WAB
11/03/20,62.71,66.23,62.29,65.62,1708269,WAB
11/02/20,60.45,62.03,59.8999,61.68,1769832,WAB
10/30/20,58.62,60.0,58.0,59.3,1784252,WAB
10/29/20,59.4,59.6,56.17,58.75,3257554,WAB
10/28/20,57.0,57.783,55.83,56.17,2884895,WAB
10/27/20,60.01,60.15,58.51,58.61,1007174,WAB
10/26/20,61.19,61.3,59.09,60.27,912648,WAB
10/23/20,63.09,63.45,61.97,62.06,694113,WAB
10/22/20,62.4,62.63,61.75,62.42,1173404,WAB
10/21/20,62.98,63.795,62.08,62.1,828793,WAB
10/20/20,62.79,64.19,62.28,63.16,853916,WAB
10/19/20,63.44,63.99,61.96,62.1,864882,WAB
10/16/20,63.76,64.31,63.235,63.33,554338,WAB
10/15/20,63.28,63.95,62.64,63.51,955174,WAB
10/14/20,64.16,65.04,64.12,64.26,708878,WAB
10/13/20,62.86,64.47,62.63,63.98,1451339,WAB
10/12/20,64.78,64.98,62.91,62.96,1451954,WAB
10/09/20,65.58,65.77,63.87,64.51,985099,WAB
10/08/20,65.06,65.37,63.74,64.84,741662,WAB
10/07/20,64.31,65.27,63.9,64.62,747663,WAB
10/06/20,65.0,66.05,63.63,63.73,896204,WAB
10/05/20,63.43,64.57,63.34,64.43,693744,WAB
10/02/20,59.33,63.38,59.33,62.72,803814,WAB
10/01/20,62.04,62.55,60.22,60.73,1598310,WAB
09/30/20,62.9,63.765,61.5,61.88,1152952,WAB
09/29/20,62.72,63.115,61.795,62.47,565097,WAB
09/28/20,61.89,63.54,61.805,62.96,843156,WAB
09/25/20,59.51,61.03,59.51,60.63,749764,WAB
09/24/20,60.16,61.44,59.28,60.37,868760,WAB
09/23/20,62.39,62.728,60.13,60.34,1559427,WAB
09/22/20,62.43,63.3,61.27,62.19,1412163,WAB
09/21/20,65.96,66.37,62.41,62.97,2295852,WAB
09/18/20,68.19,69.56,67.71,67.82,1971787,WAB
09/17/20,67.75,68.9,66.65,68.82,978971,WAB
09/16/20,67.34,68.77,66.53,67.99,1185192,WAB
09/15/20,68.19,68.625,66.78,66.82,766319,WAB
09/14/20,67.92,68.36,67.05,68.0,1699132,WAB
