Date, Open, High, Low, Close, Volume,ticker
12/24/20,39.95,40.04,39.075,39.62,2677978,WBA
12/23/20,39.466,40.235,39.44,39.87,4200222,WBA
12/22/20,40.6,40.61,39.165,39.27,8086999,WBA
12/21/20,40.55,41.02,40.16,40.67,4801277,WBA
12/18/20,40.99,41.1774,40.4,40.69,11942390,WBA
12/17/20,40.83,40.96,40.35,40.88,5612692,WBA
12/16/20,41.4038,41.4038,40.24,40.44,7870681,WBA
12/15/20,41.6,42.01,41.19,41.33,5461005,WBA
12/14/20,42.05,42.14,41.2,41.48,6695702,WBA
12/11/20,41.6,41.665,40.85,41.53,5937140,WBA
12/10/20,41.37,42.04,41.2836,41.65,4861713,WBA
12/09/20,42.53,42.62,41.46,41.77,6505180,WBA
12/08/20,41.91,42.47,41.655,41.99,6207400,WBA
12/07/20,43.18,43.33,42.07,42.43,6781706,WBA
12/04/20,43.05,43.45,41.72,43.41,11221490,WBA
12/03/20,39.99,43.665,39.97,42.82,17235449,WBA
12/02/20,38.505,40.1,38.39,39.84,8350784,WBA
12/01/20,38.382,39.2,38.305,38.46,8004466,WBA
11/30/20,39.01,39.1,37.89,38.01,13859290,WBA
11/27/20,39.24,39.24,38.61,39.0,3023964,WBA
11/25/20,38.5,39.18,38.07,39.07,6644001,WBA
11/24/20,38.42,38.59,37.7,38.52,8792033,WBA
11/23/20,37.68,38.0399,37.22,37.98,8214111,WBA
11/20/20,37.41,38.08,37.135,37.53,9022607,WBA
11/19/20,38.13,38.44,37.0201,37.85,12780950,WBA
11/18/20,39.9368,39.9491,38.22,38.23,14434710,WBA
11/17/20,39.91,40.77,39.56,39.855,25101609,WBA
11/16/20,43.79,44.87,43.72,44.1,8055755,WBA
11/13/20,41.1,42.74,40.94,42.71,6451613,WBA
11/12/20,41.07,41.24,40.17,40.77,5860337,WBA
11/11/20,42.52,42.75,41.31,41.44,7338328,WBA
11/10/20,39.8015,43.7599,39.55,42.35,18133221,WBA
11/09/20,39.48,40.73,38.55,39.785,12109940,WBA
11/06/20,37.69,38.17,37.17,37.31,6371082,WBA
11/05/20,36.32,37.59,36.07,37.53,6102724,WBA
11/04/20,36.85,37.68,36.225,36.295,8564482,WBA
11/03/20,36.37,37.62,36.3169,37.37,7857056,WBA
11/02/20,34.53,35.81,34.37,35.79,7448070,WBA
10/30/20,33.37,34.05,33.36,34.04,10514340,WBA
10/29/20,34.37,34.48,33.46,33.52,9205332,WBA
10/28/20,35.24,35.83,34.54,34.59,7286962,WBA
10/27/20,37.0,37.29,35.92,36.0,5661101,WBA
10/26/20,37.89,38.03,37.0,37.21,7692893,WBA
10/23/20,37.698,38.075,37.57,38.04,3875134,WBA
10/22/20,37.53,37.67,37.16,37.51,4082988,WBA
10/21/20,37.366,37.87,36.97,37.39,3708546,WBA
10/20/20,37.15,37.765,36.72,37.49,6034347,WBA
10/19/20,37.46,37.8,36.825,36.97,4865339,WBA
10/16/20,37.48,37.91,36.9,37.41,8563115,WBA
10/15/20,36.35,38.22,36.31,37.64,16171850,WBA
10/14/20,36.32,36.8099,35.65,35.91,8381970,WBA
10/13/20,36.9,37.09,35.7,36.18,8021142,WBA
10/12/20,36.62,37.71,36.42,36.93,8686607,WBA
10/09/20,37.29,37.59,36.28,36.34,7423679,WBA
10/08/20,36.65,37.09,36.59,37.07,3623675,WBA
10/07/20,36.177,36.75,36.02,36.49,3687082,WBA
10/06/20,36.6,37.03,35.81,35.95,5123041,WBA
10/05/20,36.02,36.67,35.95,36.62,4774882,WBA
10/02/20,35.32,35.96,35.2801,35.77,5464966,WBA
10/01/20,35.84,36.12,35.54,35.87,4808861,WBA
09/30/20,35.55,36.295,35.55,35.92,6679235,WBA
09/29/20,35.8,36.27,35.35,35.38,5079568,WBA
09/28/20,35.89,36.515,35.83,36.07,5901611,WBA
09/25/20,34.69,35.56,34.53,35.43,5955371,WBA
09/24/20,35.18,35.26,34.52,35.03,5498586,WBA
09/23/20,35.88,36.281,34.94,35.06,8479286,WBA
09/22/20,35.78,35.97,35.39,35.72,4399066,WBA
09/21/20,36.75,36.87,35.59,35.79,7484713,WBA
09/18/20,37.21,37.25,36.44,36.93,12824110,WBA
09/17/20,35.71,37.28,35.51,37.21,7251331,WBA
09/16/20,35.39,36.89,35.2165,36.28,8224335,WBA
09/15/20,35.2,35.7,34.87,35.27,8488407,WBA
09/14/20,34.85,35.17,34.595,35.11,5742070,WBA
09/11/20,34.71,35.25,33.88,34.7,9634509,WBA
09/10/20,35.7,35.7,34.505,34.67,7892708,WBA
09/09/20,36.09,36.27,35.23,35.35,9506332,WBA
09/08/20,36.897,37.22,36.03,36.1,8261242,WBA
09/04/20,37.12,37.54,36.55,36.89,6994406,WBA
09/03/20,37.27,38.33,36.74,37.09,8278005,WBA
09/02/20,36.9,37.57,36.68,37.17,7672365,WBA
09/01/20,37.89,37.96,36.5,36.76,10735750,WBA
08/31/20,38.61,38.7121,38.0,38.02,7940058,WBA
08/28/20,39.36,39.4,38.63,38.76,6035619,WBA
08/27/20,38.65,39.45,38.46,39.34,6072537,WBA
08/26/20,39.19,39.38,38.36,38.67,7776630,WBA
