Date, Open, High, Low, Close, Volume,ticker
12/24/20,247.87,251.35,245.43,248.76,599924,WDAY
12/23/20,256.28,259.01,248.69,248.76,1638798,WDAY
12/22/20,242.0,258.37,241.94,257.71,4136326,WDAY
12/21/20,238.73,242.74,236.1,242.32,1786313,WDAY
12/18/20,241.98,244.7694,239.01,241.39,4011456,WDAY
12/17/20,232.25900000000001,240.82,232.0,239.81,2779814,WDAY
12/16/20,223.99,231.0,222.72,230.59,1902720,WDAY
12/15/20,221.68,225.15,218.76,220.25,1946780,WDAY
12/14/20,219.01,224.1,218.66,220.37,2563554,WDAY
12/11/20,219.09,220.22,214.7667,219.24,1835142,WDAY
12/10/20,217.45,222.0,215.77,218.29,2810892,WDAY
12/09/20,228.05,228.83,218.31,219.48,2110043,WDAY
12/08/20,228.0,230.71,225.06,228.17,1636885,WDAY
12/07/20,222.06,228.6,221.41,227.28,1628983,WDAY
12/04/20,224.82,226.49,221.31,222.18,1338471,WDAY
12/03/20,224.0,226.79,223.36,224.17,1287203,WDAY
12/02/20,222.21,226.07,219.78,225.43,1872011,WDAY
12/01/20,223.44,229.16,222.9,225.7,2809980,WDAY
11/30/20,223.44,225.1,218.54,224.79,2526493,WDAY
11/27/20,215.0,224.69,214.0,223.86,2006355,WDAY
11/25/20,214.0,216.9,209.53,214.88,2614932,WDAY
11/24/20,208.44,213.28,205.1386,213.14,3333210,WDAY
11/23/20,210.47,212.24,204.86,207.1,4461321,WDAY
11/20/20,220.22,222.45,209.05,209.4,12274620,WDAY
11/19/20,224.27,231.94,223.46,230.8,4133858,WDAY
11/18/20,226.5,228.2,222.36,223.61,2653069,WDAY
11/17/20,224.93,228.24,221.9,226.78,1510499,WDAY
11/16/20,219.08,225.81,218.885,224.97,1642477,WDAY
11/13/20,220.83,223.795,218.47,222.0,1106533,WDAY
11/12/20,220.14,224.385,218.61,219.81,1065816,WDAY
11/11/20,216.43,221.55,214.39,218.62,1186783,WDAY
11/10/20,221.06,222.1939,209.99,213.9,1519125,WDAY
11/09/20,222.68,228.95,218.59,223.4,1824697,WDAY
11/06/20,224.99,227.81,219.22,225.0,1248122,WDAY
11/05/20,226.26,231.43,223.42,225.23,1972029,WDAY
11/04/20,219.11,224.78,213.51,215.24,2729688,WDAY
11/03/20,206.51,209.88,205.055,209.18,1067550,WDAY
11/02/20,209.73,212.5,201.615,205.48,1362791,WDAY
10/30/20,215.17,217.85,208.155,210.12,1920479,WDAY
10/29/20,211.53,218.29,211.53,217.63,1708841,WDAY
10/28/20,210.01,212.3665,207.23,209.7,1129569,WDAY
10/27/20,211.8,216.16,211.51,214.17,1227962,WDAY
10/26/20,218.65,222.82,208.88,210.33,3862569,WDAY
10/23/20,221.49,224.27,219.03,224.14,688208,WDAY
10/22/20,224.43,225.98,218.21,220.85,637377,WDAY
10/21/20,225.91,226.945,222.1,224.31,1349307,WDAY
10/20/20,230.785,233.78,224.34,224.43,1894252,WDAY
10/19/20,229.76,231.85,226.51,227.64,1356085,WDAY
10/16/20,227.15,231.1,227.15,229.45,1136931,WDAY
10/15/20,224.13,228.21,222.51,226.67,1904819,WDAY
10/14/20,236.6,236.6,227.55,230.54,1209071,WDAY
10/13/20,228.67,236.84,228.04,232.9,1801728,WDAY
10/12/20,229.36,230.14,224.755,228.19,1371697,WDAY
10/09/20,226.0,226.68,224.325,225.73,830050,WDAY
10/08/20,229.23,229.595,222.6,224.04,842898,WDAY
10/07/20,227.29,230.27,223.6,227.21,2500561,WDAY
10/06/20,223.18,225.69,215.72,217.01,1463384,WDAY
10/05/20,219.67,224.58,217.58,222.04,1309475,WDAY
10/02/20,219.29,225.55,218.0008,218.98,1680580,WDAY
10/01/20,222.75,222.75,216.7,220.52,2390053,WDAY
09/30/20,220.52,222.5,214.0,215.13,2123481,WDAY
09/29/20,221.28,222.88,219.7,220.78,1723602,WDAY
09/28/20,218.54,221.5,215.25,220.34,2411045,WDAY
09/25/20,209.64,216.13,207.79,215.78,1220251,WDAY
09/24/20,206.56,211.05,204.165,208.69,1185063,WDAY
09/23/20,211.59,213.9,206.73,207.39,1743274,WDAY
09/22/20,206.675,212.43,203.78,211.8,1831742,WDAY
09/21/20,197.73,203.91,195.81,203.55,1431998,WDAY
