Date, Open, High, Low, Close, Volume,ticker
12/24/20,88.73,89.51,88.34,89.43,498878,WEC
12/23/20,89.86,90.04,88.27,88.68,1331519,WEC
12/22/20,89.97,90.2,89.17,89.47,1046594,WEC
12/21/20,90.38,90.69,88.96,90.06,1278398,WEC
12/18/20,92.23,92.7,90.61,91.32,2501510,WEC
12/17/20,92.77,93.58,92.07,92.22,1203824,WEC
12/16/20,93.1,94.11,92.17,92.27,1167699,WEC
12/15/20,92.0,93.75,91.18,92.92,1122618,WEC
12/14/20,92.65,93.66,91.555,91.58,1131377,WEC
12/11/20,91.59,92.32,91.15,92.24,1217472,WEC
12/10/20,92.93,93.16,91.44,91.98,1195887,WEC
12/09/20,93.43,93.81,92.08,92.74,1013196,WEC
12/08/20,93.34,94.29,92.61,93.43,1285773,WEC
12/07/20,92.89,94.09,92.89,93.65,843598,WEC
12/04/20,94.1,94.64,92.75,93.29,925779,WEC
12/03/20,95.18,95.78,94.1,94.38,1267453,WEC
12/02/20,95.24,95.78,93.93,95.76,1050199,WEC
12/01/20,95.74,96.55,95.155,95.6,1315683,WEC
11/30/20,95.23,95.455,94.13,94.95,3320263,WEC
11/27/20,96.05,96.345,94.91,95.74,840099,WEC
11/25/20,96.6,97.37,94.825,96.0,1413057,WEC
11/24/20,96.31,96.59,95.15,96.24,1360703,WEC
11/23/20,96.35,96.515,95.23,95.8,1268647,WEC
11/20/20,95.83,97.285,95.65,96.1,1710005,WEC
11/19/20,96.3,96.355,94.38,95.55,1254171,WEC
11/18/20,100.8,100.8,96.68,96.75,1526708,WEC
11/17/20,102.85,103.54,99.97,100.18,1145724,WEC
11/16/20,103.12,104.15,101.925,104.03,1587452,WEC
11/13/20,102.98,103.53,101.8,102.14,930137,WEC
11/12/20,103.57,103.58,101.72,102.45,909432,WEC
11/11/20,105.31,105.97,103.86,104.43,1005505,WEC
11/10/20,103.88,106.0,103.765,104.85,1250992,WEC
11/09/20,104.7,106.85,103.63,103.83,1314908,WEC
11/06/20,101.96,103.11,101.29,102.36,659449,WEC
11/05/20,102.72,104.14,101.2,101.6,1556394,WEC
11/04/20,103.78,105.6,101.8,101.81,1483317,WEC
11/03/20,104.09,105.35,103.38,104.25,1499745,WEC
11/02/20,101.68,103.47,101.056,103.14,1219305,WEC
10/30/20,99.92,101.0,99.035,100.55,1393574,WEC
10/29/20,99.52,101.685,98.27,100.42,1025966,WEC
10/28/20,101.31,102.83,99.61,99.76,1378326,WEC
10/27/20,102.33,103.51,101.7,102.47,754256,WEC
10/26/20,101.95,102.45,100.73100000000001,102.21,616269,WEC
