Date, Open, High, Low, Close, Volume,ticker
12/24/20,30.29,30.38,29.66,29.84,14443730,WFC
12/23/20,29.28,30.49,29.27,30.35,38383672,WFC
12/22/20,29.65,29.72,28.945,28.96,25705221,WFC
12/21/20,29.57,29.89,28.8414,29.55,52731621,WFC
12/18/20,29.47,29.6197,28.8,29.01,53716398,WFC
12/17/20,29.8,29.9,29.435,29.47,42870473,WFC
12/16/20,29.64,29.905,29.48,29.65,35204820,WFC
12/15/20,29.13,29.77,28.9,29.73,38888859,WFC
12/14/20,29.54,29.775,28.5131,28.64,28378020,WFC
12/11/20,29.02,29.39,28.67,29.08,29779109,WFC
12/10/20,28.72,29.56,28.54,29.49,31730189,WFC
12/09/20,29.24,29.24,28.61,29.05,35276008,WFC
12/08/20,29.03,29.3,28.4,28.94,32209490,WFC
12/07/20,29.42,29.6286,29.07,29.34,31712961,WFC
12/04/20,29.5,29.97,29.34,29.55,47168820,WFC
12/03/20,28.94,29.49,28.79,29.16,41264621,WFC
12/02/20,27.99,28.99,27.845,28.87,35507961,WFC
12/01/20,28.15,28.68,28.04,28.06,42001848,WFC
11/30/20,28.43,28.56,27.28,27.35,48210961,WFC
11/27/20,28.59,28.63,28.18,28.46,20281439,WFC
11/25/20,28.33,28.69,28.0,28.59,38875520,WFC
11/24/20,27.46,28.73,27.3403,28.61,80523352,WFC
11/23/20,25.95,26.44,25.87,26.3,40691367,WFC
11/20/20,26.04,26.23,25.46,25.48,38469059,WFC
11/19/20,25.19,26.22,24.971,26.16,44559961,WFC
11/18/20,25.15,25.95,25.06,25.06,44318289,WFC
11/17/20,24.53,25.15,24.52,25.04,29490359,WFC
11/16/20,24.99,25.03,24.39,24.9,36954809,WFC
11/13/20,23.91,24.18,23.73,24.07,30095949,WFC
11/12/20,23.91,24.145,23.56,23.81,34541930,WFC
11/11/20,24.23,24.54,24.005,24.19,38309199,WFC
11/10/20,24.36,24.37,23.8645,24.19,49029152,WFC
11/09/20,24.03,24.8671,23.3,24.22,102118898,WFC
11/06/20,22.5,22.57,21.84,21.91,29502891,WFC
11/05/20,21.89,22.5699,21.86,22.33,38319688,WFC
11/04/20,21.75,22.56,21.17,21.88,47203199,WFC
11/03/20,22.31,22.5,21.99,22.09,38427020,WFC
