Date, Open, High, Low, Close, Volume,ticker
12/24/20,190.13,193.41,188.61,193.2,302646,WHR
12/23/20,188.65,191.09,187.6,189.55,434484,WHR
12/22/20,186.0,188.76,185.4,187.79,454929,WHR
12/21/20,185.32,187.45,182.95,186.62,500946,WHR
12/18/20,190.91,191.67,186.45,188.37,1392394,WHR
12/17/20,189.0,190.75,186.72,190.75,648662,WHR
12/16/20,189.39,191.59,186.465,187.09,561332,WHR
12/15/20,184.97,189.43,183.77,188.63,600093,WHR
12/14/20,186.3,187.5,183.915,184.03,661379,WHR
12/11/20,182.91,185.45,182.3263,183.93,604547,WHR
12/10/20,183.96,184.72,181.0901,182.41,638325,WHR
12/09/20,187.07,188.775,184.68,185.04,721066,WHR
12/08/20,187.52,189.64,184.26,185.15,551708,WHR
12/07/20,184.07,189.25,183.125,188.85,780809,WHR
12/04/20,186.94,188.33,183.0,184.07,697283,WHR
12/03/20,186.26,187.845,183.45,186.89,1043350,WHR
12/02/20,193.75,193.93,183.5,183.78,992062,WHR
12/01/20,196.4,198.35,192.59,193.8,747100,WHR
11/30/20,199.56,199.8,192.59,194.61,710017,WHR
11/27/20,199.99,201.25,198.22,200.96,181964,WHR
11/25/20,199.54,201.83,197.025,200.12,522727,WHR
11/24/20,201.03,205.78,200.1,200.22,740040,WHR
11/23/20,194.29,199.775,192.64,198.68,609415,WHR
11/20/20,192.88,194.48,191.11,192.91,536827,WHR
11/19/20,192.08,194.44,189.2501,192.56,466032,WHR
11/18/20,191.86,197.37,191.58,194.17,645868,WHR
11/17/20,189.29,192.0,187.16,191.07,572624,WHR
11/16/20,189.86,191.03,185.2,188.6,832448,WHR
11/13/20,186.0,190.18,185.4947,188.73,432432,WHR
11/12/20,185.4,186.5,181.52,183.94,630357,WHR
11/11/20,184.48,185.25,182.27,185.13,617004,WHR
11/10/20,181.51,185.0,180.17,183.05,758751,WHR
11/09/20,205.0,206.57,180.52,180.69,1137665,WHR
11/06/20,199.22,202.9,197.7886,201.64,464079,WHR
11/05/20,197.11,201.4212,197.11,198.76,794558,WHR
11/04/20,197.34,197.34,193.0,194.4,578978,WHR
11/03/20,195.3,199.11,193.46,197.77,600970,WHR
11/02/20,185.79,193.09,185.51,192.73,587298,WHR
10/30/20,186.4,189.01,180.4,184.96,827367,WHR
10/29/20,188.13,189.95,184.75,186.38,572183,WHR
10/28/20,190.22,194.51,188.02,188.44,666535,WHR
