Date, Open, High, Low, Close, Volume,ticker
12/24/20,116.46,117.02,116.21,117.0,466056,WM
12/23/20,117.81,118.31,116.2299,116.25,957075,WM
12/22/20,116.79,118.02,115.97,117.92,1695311,WM
12/21/20,116.49,116.705,114.17,116.51,1392321,WM
12/18/20,117.84,118.63,116.92,117.41,3232877,WM
12/17/20,116.54,118.345,116.36,117.51,1890657,WM
12/16/20,116.65,117.1259,115.875,116.08,997240,WM
12/15/20,116.03,116.82,115.56,116.78,1479680,WM
12/14/20,115.97,116.84,114.73,114.78,1227839,WM
12/11/20,114.83,116.16,114.16,115.41,1426129,WM
12/10/20,116.14,116.65,114.71,114.94,1672870,WM
12/09/20,117.28,117.28,115.6,116.58,1611862,WM
12/08/20,115.92,117.27,115.78,116.75,1234666,WM
12/07/20,117.54,117.91,116.46,116.77,1173476,WM
12/04/20,116.8,117.67,116.8,117.54,1638514,WM
12/03/20,116.6,117.93,116.2,117.14,1619462,WM
12/02/20,119.34,119.745,116.62,117.13,1621659,WM
12/01/20,120.17,120.6,119.27,119.64,1545277,WM
11/30/20,118.65,119.8821,118.29,119.13,1566622,WM
11/27/20,119.83,119.98,118.87,119.19,616089,WM
11/25/20,120.0,120.0977,118.6735,119.64,1400801,WM
11/24/20,120.76,121.54,120.05,120.43,1433126,WM
11/23/20,120.84,121.01,119.58,120.11,936253,WM
11/20/20,121.03,121.21,119.99,120.35,950926,WM
11/19/20,120.15,121.09,118.88,120.58,1172678,WM
11/18/20,122.14,122.75,120.47,120.53,1204533,WM
11/17/20,121.37,121.6673,120.61,121.3,1634281,WM
11/16/20,122.47,123.19,121.035,121.99,1678050,WM
11/13/20,122.01,122.6,121.3,121.92,865132,WM
11/12/20,122.45,122.84,120.69,121.09,1216847,WM
11/11/20,123.42,123.74,122.26,122.8,1025751,WM
11/10/20,120.9,123.74,120.1629,123.38,1963381,WM
11/09/20,123.49,125.56,120.7501,120.96,2398650,WM
11/06/20,120.0,120.36,118.91,119.28,1311798,WM
11/05/20,117.99,120.6,117.06,119.69,2682509,WM
11/04/20,114.16,118.1746,114.16,116.05,1989233,WM
11/03/20,112.2,115.13,112.2,114.71,2357327,WM
11/02/20,109.08,111.9,108.9,110.67,2064423,WM
10/30/20,107.36,108.33,106.22,107.91,1930795,WM
10/29/20,107.38,108.61,106.11,107.55,2082880,WM
10/28/20,109.22,109.82,106.75,106.96,1884076,WM
10/27/20,112.02,112.61,110.35,110.63,2481073,WM
10/26/20,115.79,116.02,112.81,113.4,1392649,WM
10/23/20,116.25,116.825,115.5,116.7,1593979,WM
10/22/20,114.28,116.04,114.06,115.77,1324399,WM
10/21/20,113.9,115.15,113.62,114.17,1007989,WM
10/20/20,114.75,115.59,114.06,114.31,832832,WM
10/19/20,116.0,116.21,113.54,113.7,1456678,WM
10/16/20,115.58,116.46,115.49,115.87,1910147,WM
10/15/20,114.32,115.49,114.0,115.27,884066,WM
10/14/20,115.19,115.815,114.28,114.58,1020678,WM
10/13/20,117.14,117.6,115.08,115.5,1614356,WM
10/12/20,115.83,117.19,115.68,116.82,1217370,WM
10/09/20,115.13,115.7,114.68,115.35,1097264,WM
10/08/20,114.33,114.89,113.91,114.7,910493,WM
10/07/20,113.85,114.4,113.33,113.88,1086048,WM
10/06/20,114.81,115.05,112.9,113.25,1404794,WM
10/05/20,114.83,115.06,113.84,114.24,1242579,WM
10/02/20,111.66,114.56,111.58,113.89,1089792,WM
10/01/20,113.96,113.99,112.0258,112.89,1510718,WM
09/30/20,113.8,114.32,112.54,113.17,2130597,WM
09/29/20,114.18,114.6532,113.33,113.41,1042629,WM
09/28/20,114.6,115.21,113.88,114.04,1265582,WM
09/25/20,111.0,113.85,110.85,113.63,1175109,WM
09/24/20,111.82,112.45,110.25,111.3,1818591,WM
09/23/20,113.21,113.875,111.7,111.73,1580494,WM
09/22/20,114.08,115.48,113.95,114.97,1088658,WM
09/21/20,114.25,114.42,113.265,114.3,2109467,WM
09/18/20,115.24,116.56,114.86,115.27,3063297,WM
09/17/20,116.15,117.45,115.25,115.56,2097426,WM
09/16/20,117.53,118.915,116.68,116.85,2050715,WM
09/15/20,116.5,117.79,116.16,117.07,1709139,WM
09/14/20,113.83,116.59,113.65,116.36,2111252,WM
09/11/20,111.91,113.61,111.59,113.15,1505886,WM
09/10/20,112.82,112.93,111.35,111.68,1123676,WM
09/09/20,110.74,113.41,110.565,112.56,1738141,WM
09/08/20,111.18,111.68,110.11,110.46,1490210,WM
09/04/20,111.78,112.28,109.06,111.21,2224214,WM
09/03/20,113.5,114.12,110.57,111.22,2324609,WM
09/02/20,113.64,115.06,113.37,114.15,2806611,WM
09/01/20,113.31,113.82,112.82,113.64,1290093,WM
08/31/20,113.64,114.47,113.58,114.0,1504787,WM
08/28/20,114.23,114.3,113.21,114.01,1242518,WM
08/27/20,114.0,115.02,113.82,114.27,1289675,WM
08/26/20,113.25,115.0,112.745,113.9,2122351,WM
08/25/20,113.0,113.37,112.7247,113.19,2106152,WM
08/24/20,111.49,112.57,111.15,112.51,1332195,WM
