Date, Open, High, Low, Close, Volume,ticker
12/24/20,281.79,284.55,280.37,282.96,147082,WST
12/23/20,284.18,285.6588,279.015,281.43,478354,WST
12/22/20,276.49,283.315,275.46,282.91,461975,WST
12/21/20,273.84,276.09,266.28,276.09,478656,WST
12/18/20,273.61,278.18,269.335,277.66,973433,WST
12/17/20,269.65,276.88,269.61,273.58,578554,WST
12/16/20,268.08,270.7389,264.0,267.62,392741,WST
12/15/20,265.59,268.45,265.06,267.18,406544,WST
12/14/20,265.0,271.73,263.97,264.92,393692,WST
12/11/20,265.29,265.84,262.78,263.98,592870,WST
12/10/20,260.5,270.15,259.83,266.67,687009,WST
12/09/20,267.25,267.83,260.0,261.16,765984,WST
12/08/20,267.08,268.6,265.47,267.28,682922,WST
12/07/20,272.16,273.81,267.24,268.06,367881,WST
12/04/20,271.71,274.35,270.72,271.55,312430,WST
12/03/20,274.36,276.57,271.15,272.24,281924,WST
12/02/20,272.0,276.33,268.61,275.39,344721,WST
12/01/20,274.79,276.6,271.251,272.01,442153,WST
11/30/20,279.53,280.5,271.87,275.16,775350,WST
11/27/20,271.65,277.995,271.65,277.96,190581,WST
11/25/20,268.85,270.21,264.06,269.2,378342,WST
11/24/20,273.97,275.5,267.21,267.71,461794,WST
11/23/20,284.9,285.77,274.12,275.72,300025,WST
11/20/20,281.92,287.07,281.44,284.73,351282,WST
11/19/20,281.87,287.8382,278.19,281.22,391427,WST
11/18/20,286.03,287.51,281.05,281.29,358031,WST
11/17/20,290.8,290.8,286.19,286.79,297663,WST
11/16/20,291.52,293.49,288.71,292.01,280785,WST
11/13/20,291.9,294.39,288.455,290.97,241483,WST
11/12/20,287.44,292.76,286.96,289.59,306744,WST
11/11/20,282.58,286.81,281.03,285.07,437709,WST
11/10/20,286.14,291.53,272.78,279.42,416735,WST
11/09/20,303.0,305.0,286.54,286.54,515337,WST
11/06/20,295.87,299.33,294.22,295.8,251485,WST
11/05/20,294.52,296.25,289.6,295.02,309021,WST
11/04/20,283.9,294.13,283.15,289.79,447024,WST
11/03/20,273.0,279.24,271.63,277.03,296524,WST
