Date, Open, High, Low, Close, Volume,ticker
12/24/20,114.41,115.45,113.61,114.39,850935,WYNN
12/23/20,113.93,116.93,113.615,115.3,1997981,WYNN
12/22/20,112.27,113.28,110.71,112.61,1639108,WYNN
12/21/20,110.71,113.775,108.73,112.54,3809701,WYNN
12/18/20,114.55,116.53,113.01,115.93,3196254,WYNN
12/17/20,116.8,117.19,114.14,114.81,2046285,WYNN
12/16/20,113.5,116.29,112.55,115.23,2319516,WYNN
12/15/20,109.22,114.75,108.52,114.1,3200838,WYNN
12/14/20,112.41,112.74,107.2,107.54,2856065,WYNN
12/11/20,112.67,113.38,109.6,110.98,2162922,WYNN
12/10/20,109.09,113.09,109.09,112.88,1840734,WYNN
12/09/20,112.88,113.54,109.34,111.16,2159222,WYNN
12/08/20,110.625,113.1672,110.33,111.31,2846075,WYNN
12/07/20,112.76,112.94,109.52,111.32,3736476,WYNN
12/04/20,109.5,113.52,108.2,113.5,2997699,WYNN
12/03/20,107.10600000000001,110.39,105.9,108.49,3167781,WYNN
12/02/20,101.75,106.46,100.74,105.13,2956514,WYNN
12/01/20,102.02,104.69,100.89,102.36,2818608,WYNN
11/30/20,100.99,101.66,97.23,100.5,3071354,WYNN
11/27/20,101.33,103.39,100.67,101.22,1419640,WYNN
11/25/20,101.65,101.7151,99.06,100.4,2225675,WYNN
11/24/20,97.585,102.91,97.41,102.76,4229668,WYNN
11/23/20,95.5,96.79,94.12,95.48,3340421,WYNN
11/20/20,97.82,98.8,95.29,95.29,3591903,WYNN
11/19/20,96.925,99.47,96.27,98.75,2764355,WYNN
11/18/20,94.55,98.86,93.7,95.64,3339150,WYNN
11/17/20,93.31,96.32,91.4,94.23,2500546,WYNN
11/16/20,97.67,98.36,93.44,94.74,4496046,WYNN
11/13/20,87.7,92.66,86.46,92.19,4181803,WYNN
11/12/20,89.69,89.89,85.9607,86.67,7165438,WYNN
11/11/20,97.2,97.2,91.0,91.71,5046839,WYNN
11/10/20,100.0,102.19,95.395,96.66,5302716,WYNN
11/09/20,95.17,105.93,95.0,102.24,18916840,WYNN
11/06/20,77.89,80.9,77.5146,80.07,3461913,WYNN
11/05/20,77.38,80.49,76.85,80.13,5303103,WYNN
11/04/20,75.08,77.78,73.7,76.12,4412303,WYNN
11/03/20,76.63,77.16,74.11,74.57,3082846,WYNN
11/02/20,74.42,76.07,73.4,75.85,3955066,WYNN
10/30/20,71.35,73.31,70.245,72.43,3305726,WYNN
10/29/20,69.28,73.12,69.05,72.19,3936735,WYNN
10/28/20,70.71,70.84,67.7,69.01,4421055,WYNN
10/27/20,73.61,73.87,71.17,71.83,2438191,WYNN
10/26/20,74.59,74.655,71.77,73.52,2959416,WYNN
10/23/20,76.65,76.84,74.79,76.56,2143255,WYNN
10/22/20,75.23,76.65,74.15,76.425,4016481,WYNN
10/21/20,72.01,73.4016,71.315,72.85,2532189,WYNN
10/20/20,70.16,73.08,70.01,72.44,3508539,WYNN
10/19/20,71.395,72.2399,69.5,69.67,3848207,WYNN
10/16/20,72.53,73.37,70.92,71.12,3010280,WYNN
10/15/20,71.45,72.75,70.66,72.7,2574619,WYNN
10/14/20,71.49,72.55,70.76,71.7,3265027,WYNN
10/13/20,73.175,73.175,69.49,71.74,5278350,WYNN
10/12/20,72.85,74.2,72.35,74.11,2072260,WYNN
10/09/20,74.63,75.53,72.45,72.67,3095229,WYNN
10/08/20,75.28,76.0898,73.91,74.32,2743661,WYNN
10/07/20,75.92,75.95,74.23,75.06,2847173,WYNN
10/06/20,74.57,77.735,74.015,74.32,5082571,WYNN
10/05/20,73.06,74.07,72.03,73.85,3414421,WYNN
10/02/20,70.0,73.44,69.6,73.2,3115762,WYNN
10/01/20,72.14,72.715,71.11,72.07,4258881,WYNN
09/30/20,71.94,73.94,71.18,71.81,4450792,WYNN
09/29/20,72.98,73.09,70.55,70.98,4266430,WYNN
