Date, Open, High, Low, Close, Volume,ticker
12/24/20,22.91,22.96,22.385,22.58,940543.0,XRX
12/23/20,22.66,22.91,22.48,22.78,1155896.0,XRX
12/22/20,22.55,22.74,22.2657,22.38,1651433.0,XRX
12/21/20,22.34,22.48,22.03,22.38,2337803.0,XRX
12/18/20,22.97,23.34,22.56,22.86,8124080.0,XRX
12/17/20,23.28,23.29,22.71,23.13,2297394.0,XRX
12/16/20,24.01,24.22,22.925,23.03,2637383.0,XRX
12/15/20,23.07,23.76,22.91,23.76,2162388.0,XRX
12/14/20,23.04,23.17,22.67,22.74,2569267.0,XRX
12/11/20,22.66,22.83,22.29,22.76,2229544.0,XRX
12/10/20,22.6,22.94,22.41,22.86,1538951.0,XRX
12/09/20,22.97,23.12,22.56,22.86,1679217.0,XRX
12/08/20,22.76,23.16,22.71,22.86,1565428.0,XRX
12/07/20,23.23,23.25,22.8,22.98,1708275.0,XRX
12/04/20,23.03,23.48,22.88,23.35,1827591.0,XRX
12/03/20,22.65,23.02,22.42,22.72,1351339.0,XRX
12/02/20,22.34,22.7001,21.8,22.66,1415186.0,XRX
12/01/20,22.3,22.5,22.16,22.16,2724763.0,XRX
11/30/20,22.97,23.08,21.79,21.89,3263661.0,XRX
11/27/20,23.32,23.41,23.11,23.22,723542.0,XRX
11/25/20,23.28,23.58,23.104,23.38,1562005.0,XRX
11/24/20,23.15,23.75,22.72,23.55,2419918.0,XRX
11/23/20,22.18,22.685,22.05,22.59,1760583.0,XRX
11/20/20,21.76,22.02,21.635,21.91,1367119.0,XRX
11/19/20,21.75,22.17,21.46,21.91,1615051.0,XRX
11/18/20,22.3,22.6,21.86,21.87,2050305.0,XRX
11/17/20,22.25,22.5,21.77,22.16,2401522.0,XRX
11/16/20,22.24,22.805,22.2,22.7,2732176.0,XRX
11/13/20,20.77,21.705,20.72,21.64,2241119.0,XRX
11/12/20,20.83,20.96,19.92,20.41,2291358.0,XRX
11/11/20,21.8,21.94,20.86,21.22,2136129.0,XRX
11/10/20,21.63,21.95,21.03,21.62,3122134.0,XRX
11/09/20,20.72,21.83,20.38,21.5,4943711.0,XRX
