Date, Open, High, Low, Close, Volume,ticker
12/24/20,100.31,100.48,99.31,100.25,249747,XYL
12/23/20,100.53,100.75,99.38,99.73,593282,XYL
12/22/20,100.55,100.55,98.35,99.4,1060324,XYL
12/21/20,98.3,101.27,97.63,100.72,1023738,XYL
12/18/20,99.84,100.64,98.79,100.05,1774636,XYL
12/17/20,99.56,100.29,98.71,99.75,964817,XYL
12/16/20,100.0,100.365,98.455,99.02,891789,XYL
12/15/20,97.47,99.99,97.19,99.77,902568,XYL
12/14/20,99.26,99.54,97.06,97.14,682442,XYL
12/11/20,97.4,98.78,97.32,98.48,730827,XYL
12/10/20,97.83,98.6,96.975,98.21,706910,XYL
12/09/20,98.98,99.415,97.73,98.53,1111098,XYL
12/08/20,97.73,99.33,97.57,98.63,813805,XYL
12/07/20,98.65,98.99,97.41,98.2,868709,XYL
12/04/20,97.58,99.39,97.48,98.41,886185,XYL
12/03/20,96.49,97.97,96.29,96.75,1314346,XYL
12/02/20,96.23,96.8,95.14,96.14,737140,XYL
12/01/20,97.52,98.245,96.965,97.07,1026091,XYL
11/30/20,96.82,97.12,95.06,95.97,1498848,XYL
11/27/20,97.36,98.155,96.53,97.14,453278,XYL
11/25/20,97.43,97.7,96.17,96.69,900785,XYL
11/24/20,96.14,98.59,95.8,97.52,1151086,XYL
11/23/20,95.35,95.89,94.0,94.7,540665,XYL
11/20/20,94.56,95.42,93.66,94.38,637872,XYL
11/19/20,94.81,95.195,93.6,94.37,774588,XYL
11/18/20,96.03,96.49,94.67,94.98,636147,XYL
11/17/20,96.83,97.07,95.01,95.95,730898,XYL
11/16/20,96.59,97.84,95.43,97.39,1000870,XYL
11/13/20,92.51,95.23,92.51,94.99,640719,XYL
11/12/20,93.29,93.63,91.37,92.36,546289,XYL
11/11/20,95.89,96.34,93.105,93.8,935977,XYL
11/10/20,94.14,96.48,94.03200000000001,95.11,1016815,XYL
11/09/20,98.04,99.06,93.43,93.53,1052951,XYL
11/06/20,90.68,91.845,90.55,91.08,518776,XYL
11/05/20,88.99,91.58,87.91,90.82,1063142,XYL
11/04/20,90.42,90.98,85.58,86.78,1043975,XYL
11/03/20,89.45,92.02,89.45,91.61,973146,XYL
11/02/20,88.84,90.24,87.67,88.59,1017757,XYL
10/30/20,87.04,88.0126,85.64,87.14,851689,XYL
10/29/20,87.1,88.5,84.14,86.86,1265768,XYL
10/28/20,87.44,88.49,86.86,87.35,950616,XYL
10/27/20,89.76,90.295,88.63,89.06,736410,XYL
10/26/20,90.28,90.83,89.01,90.07,486371,XYL
10/23/20,91.59,91.79,90.49,91.59,731826,XYL
10/22/20,91.13,91.65,90.41,90.86,1261316,XYL
10/21/20,91.48,92.3,90.49,90.77,883701,XYL
10/20/20,91.2,92.38,90.59,91.48,778830,XYL
10/19/20,91.05,91.59,89.9,90.42,779657,XYL
10/16/20,91.12,92.66,90.7,91.52,1506271,XYL
10/15/20,89.93,91.465,89.44,90.97,532109,XYL
10/14/20,90.34,91.52,89.96,90.82,776850,XYL
10/13/20,91.51,92.31,89.67,89.89,768678,XYL
10/12/20,90.99,93.145,90.815,91.87,775269,XYL
10/09/20,90.55,91.27,89.81,90.59,722143,XYL
10/08/20,89.07,89.865,88.055,89.83,560668,XYL
10/07/20,87.25,88.82,87.132,88.2,600464,XYL
10/06/20,87.24,88.6,85.92,86.51,598949,XYL
10/05/20,85.13,86.52,85.0,86.32,424657,XYL
10/02/20,80.95,85.02,80.95,84.43,611413,XYL
10/01/20,84.5,84.98,81.9092,82.56,698997,XYL
09/30/20,83.88,85.16,83.42,84.12,879948,XYL
09/29/20,84.39,84.39,83.3,83.77,891596,XYL
09/28/20,84.21,84.97,83.66,83.86,806786,XYL
09/25/20,81.69,83.28,81.15,83.06,850664,XYL
09/24/20,82.26,83.22,81.425,82.2,1038834,XYL
09/23/20,83.95,84.55,82.335,82.43,915861,XYL
09/22/20,83.21,84.09,82.72,83.93,1069378,XYL
09/21/20,83.72,84.0,82.31,83.46,1420663,XYL
09/18/20,85.84,87.26,85.42,85.59,1915160,XYL
09/17/20,84.29,86.27,83.315,85.85,1071743,XYL
09/16/20,84.6,87.64,83.88,85.21,1228014,XYL
09/15/20,84.5,85.6,84.07,84.41,792170,XYL
09/14/20,85.07,85.35,83.49,84.21,1155076,XYL
09/11/20,82.58,84.8725,82.07,84.55,781550,XYL
09/10/20,83.5,83.86,81.75,82.02,854288,XYL
09/09/20,82.01,84.47,81.73,83.41,800942,XYL
09/08/20,81.52,82.5,80.05,81.35,827173,XYL
09/04/20,82.74,83.08,81.27,81.87,891711,XYL
09/03/20,83.58,83.92,80.88,81.66,954033,XYL
09/02/20,81.94,83.59,81.513,83.18,912902,XYL
09/01/20,80.38,81.79,79.72,81.73,633462,XYL
08/31/20,81.98,81.99,80.1,80.18,890786,XYL
08/28/20,81.36,82.06,80.555,81.98,484919,XYL
08/27/20,80.97,81.73,80.4301,81.21,578706,XYL
08/26/20,80.44,81.23,80.305,80.7,530972,XYL
08/25/20,81.65,81.9356,80.25,80.94,679954,XYL
08/24/20,79.58,81.42,79.47,81.4,635285,XYL
08/21/20,79.5,79.89,78.84,79.4,536817,XYL
08/20/20,78.64,79.535,78.405,79.38,590391,XYL
08/19/20,79.35,80.31,79.04,79.38,555632,XYL
08/18/20,79.2,79.91,78.86,79.33,464632,XYL
08/17/20,79.59,79.9,78.86,79.22,458974,XYL
08/14/20,78.77,80.05,78.77,79.62,406143,XYL
08/13/20,79.53,80.01,79.21,79.48,510805,XYL
08/12/20,80.95,81.47,79.88,80.1,887058,XYL
08/11/20,80.18,81.43,79.74,80.3,942373,XYL
08/10/20,77.54,79.24,77.3,79.0,959190,XYL
08/07/20,75.72,77.15,75.5001,77.15,864848,XYL
08/06/20,75.77,76.36,75.08,75.79,731042,XYL
08/05/20,74.01,76.17,74.01,76.03,953782,XYL
08/04/20,73.64,73.9,72.57,73.79,696378,XYL
08/03/20,73.35,74.09,72.67,73.62,858882,XYL
07/31/20,74.1,74.72,71.87,72.98,1391978,XYL
07/30/20,76.29,77.01,73.2,74.67,1304810,XYL
07/29/20,74.92,77.36,74.86,77.17,1196541,XYL
07/28/20,75.11,75.505,74.12,74.34,774831,XYL
07/27/20,74.24,75.36,73.87,75.26,935827,XYL
07/24/20,73.87,75.01,73.87,74.25,998597,XYL
07/23/20,74.53,75.76,74.115,74.61,872637,XYL
07/22/20,74.65,75.46,74.305,74.42,780080,XYL
07/21/20,74.24,75.47,74.15,74.43,960024,XYL
07/20/20,74.24,74.63,73.72,74.17,748447,XYL
07/17/20,75.1,75.1,74.02,74.25,1044754,XYL
07/16/20,74.84,77.3,74.44,74.75,1704123,XYL
07/15/20,74.32,75.39,73.675,74.98,1843822,XYL
07/14/20,70.73,73.39699999999999,69.275,73.33,2442101,XYL
07/13/20,67.09,68.52,66.6443,67.34,1019937,XYL
07/10/20,66.65,67.13,65.89,66.51,1301736,XYL
07/09/20,65.48,66.92,64.84,66.52,1336346,XYL
07/08/20,65.98,66.58,65.11,65.74,1003183,XYL
07/07/20,66.42,67.61,65.89,66.09,1056193,XYL
07/06/20,66.83,67.53,66.49,67.15,1171279,XYL
07/02/20,64.63,66.19,64.45,65.42,1294477,XYL
07/01/20,65.03,65.26,63.63,63.65,873622,XYL
06/30/20,63.95,65.34,63.915,64.96,1183902,XYL
06/29/20,63.68,64.42,63.065,64.26,1007186,XYL
06/26/20,62.09,63.18,61.7,63.16,4669583,XYL
06/25/20,62.0,62.22,60.92,62.16,1797740,XYL
06/24/20,63.62,63.78,61.975,62.45,1979622,XYL
06/23/20,66.07,66.2021,64.21,64.25,1318224,XYL
06/22/20,64.96,65.72,63.67,65.33,1213953,XYL
06/19/20,67.72,67.96,65.25,65.29,2080385,XYL
06/18/20,66.33,66.8599,65.65,66.41,970295,XYL
06/17/20,67.19,67.87,66.69,67.07,952347,XYL
06/16/20,67.51,68.32,66.105,66.9,1422255,XYL
06/15/20,62.21,65.06,61.88,64.52,1443283,XYL
06/12/20,65.59,66.09,62.37,64.16,1607502,XYL
06/11/20,66.2,66.2,63.67,63.8,2020845,XYL
06/10/20,70.01,70.19,67.865,68.51,1184229,XYL
06/09/20,70.82,70.98,69.6,70.27,1174647,XYL
06/08/20,72.37,73.51,71.815,72.3,874417,XYL
06/05/20,73.05,73.93,71.81,72.75,1188628,XYL
06/04/20,69.39,70.38,68.61,70.38,1051012,XYL
06/03/20,68.9,70.575,68.4,70.08,989362,XYL
06/02/20,66.7,68.34,66.25,67.9,1187680,XYL
06/01/20,66.34,66.93,65.99,66.0,824175,XYL
05/29/20,67.43,67.82,65.35,66.34,1624567,XYL
05/28/20,69.26,69.44,67.5,68.16,1306215,XYL
05/27/20,66.67,69.34,66.2,68.86,2397370,XYL
05/26/20,64.12,65.8716,63.67,65.25,1510355,XYL
05/22/20,61.91,62.25,61.5034,62.22,735581,XYL
05/21/20,61.72,62.95,61.72,61.97,870342,XYL
05/20/20,61.46,62.87,61.33,62.08,806408,XYL
05/19/20,61.63,62.29,60.51,60.57,1113533,XYL
05/18/20,60.11,62.45,59.85,62.02,1052458,XYL
05/15/20,58.6,59.72,57.81,58.19,985232,XYL
05/14/20,57.38,59.04,56.63,58.95,1627653,XYL
05/13/20,58.92,59.15,57.16,58.21,1387426,XYL
05/12/20,62.82,63.23,59.07,59.07,1199743,XYL
05/11/20,62.28,63.03,60.47,62.53,1357288,XYL
05/08/20,64.78,65.43,62.775,63.0,1320235,XYL
05/07/20,64.07,65.18,63.42,63.55,1570505,XYL
05/06/20,65.14,65.89,63.05,63.06,1760182,XYL
05/05/20,64.36,65.76,63.0,65.05,2797634,XYL
05/04/20,68.71,69.06,67.83,68.55,1106740,XYL
05/01/20,70.88,71.185,68.67,69.29,926243,XYL
04/30/20,72.79,73.06,71.39,71.9,1213517,XYL
04/29/20,74.91,75.43,73.28,73.79,1613764,XYL
04/28/20,72.01,73.86,71.5,73.46,1102846,XYL
04/27/20,69.08,71.5,68.75,70.77,1143179,XYL
04/24/20,68.42,68.81,67.14,68.52,1346407,XYL
04/23/20,69.58,70.58,67.89,68.0,1288900,XYL
04/22/20,69.72,70.25,68.28,69.18,1067148,XYL
04/21/20,67.54,68.91,67.1,68.08,939772,XYL
04/20/20,68.34,70.2895,67.87,69.26,1122851,XYL
04/17/20,68.73,70.09,68.35,69.59,1856853,XYL
04/16/20,66.76,67.28,65.26,66.58,1442486,XYL
04/15/20,68.53,69.05,66.225,67.12,1175436,XYL
04/14/20,69.83,71.07,69.3,70.4,1140203,XYL
04/13/20,68.87,69.33,66.9,68.19,778973,XYL
04/09/20,69.68,70.49,68.74,69.34,1349959,XYL
04/08/20,65.4,69.76,65.0,69.09,1295660,XYL
04/07/20,67.31,67.87,65.24,66.19,1361581,XYL
04/06/20,63.39,65.67,62.63,65.19,1792080,XYL
04/03/20,63.12,65.41,59.67,60.5,1842711,XYL
04/02/20,59.18,64.1,59.18,63.4,2030607,XYL
04/01/20,61.97,64.86,57.75,59.77,1881661,XYL
03/31/20,65.25,66.36,63.01,65.13,1841083,XYL
03/30/20,66.98,68.24,65.45,66.24,1323379,XYL
03/27/20,63.1,67.46,62.12,65.5,1059476,XYL
03/26/20,64.62,68.57,63.63,68.01,1412525,XYL
03/25/20,61.43,66.16,60.04,63.86,1722307,XYL
03/24/20,58.65,62.24,58.26,62.0,1954916,XYL
03/23/20,59.19,60.27,54.62,56.64,1578521,XYL
03/20/20,64.6,65.04,59.26,59.89,1884224,XYL
03/19/20,64.78,65.34,61.41,64.46,1524464,XYL
03/18/20,66.48,69.19,60.87,65.49,2197082,XYL
03/17/20,66.71,71.85,64.47,71.82,1879764,XYL
03/16/20,62.79,66.96,62.79,65.05,1706411,XYL
03/13/20,68.02,72.21,64.0,72.12,1517721,XYL
03/12/20,68.49,68.99,61.0,64.82,1955026,XYL
03/11/20,74.5,75.94,72.13,73.24,1742202,XYL
03/10/20,73.34,76.8,71.87,76.79,2743132,XYL
03/09/20,75.68,78.17,73.57,75.94,1944873,XYL
03/06/20,80.46,81.44,78.85,81.22,1610124,XYL
03/05/20,82.3,84.07,81.8,82.46,1495652,XYL
03/04/20,81.63,85.69,80.91,85.32,1921088,XYL
03/03/20,82.06,84.28,79.74,79.88,1490394,XYL
03/02/20,77.95,82.42,77.495,82.29,2012099,XYL
02/28/20,77.79,78.8995,75.54,77.34,2786839,XYL
02/27/20,82.47,84.0,80.66,80.66,1711580,XYL
02/26/20,84.96,85.81,83.79,83.93,1344603,XYL
02/25/20,87.0,87.26,83.86,84.33,1421873,XYL
02/24/20,85.75,87.09,85.585,86.43,1249356,XYL
02/21/20,88.07,88.65,87.375,88.52,1010571,XYL
02/20/20,87.64,89.15,87.26,88.66,1298422,XYL
02/19/20,88.35,88.69,87.62,87.96,1068737,XYL
02/18/20,88.0,88.38,87.385,88.05,1310261,XYL
02/14/20,87.25,88.5183,86.99,88.14,1605644,XYL
02/13/20,88.48,88.85,86.87,87.05,2098588,XYL
02/12/20,87.85,89.34,86.74,89.13,1462781,XYL
02/11/20,86.38,87.45,85.86,87.24,1508418,XYL
02/10/20,84.0,86.17,83.84,85.72,1249322,XYL
02/07/20,83.36,84.91,83.13,84.2,2496828,XYL
02/06/20,81.0,83.31,80.8,83.12,5052431,XYL
02/05/20,87.4,87.7,86.25,87.61,1803742,XYL
02/04/20,85.0,86.5351,84.6,86.51,1380879,XYL
02/03/20,82.49,84.46,82.285,83.34,1259285,XYL
01/31/20,83.23,83.36,81.57,81.66,1553243,XYL
01/30/20,82.16,83.75,82.09,83.66,908840,XYL
01/29/20,81.91,83.715,81.47,83.17,1310406,XYL
01/28/20,80.58,81.68,80.05,81.27,767538,XYL
01/27/20,80.0,80.89,79.675,80.22,879800,XYL
01/24/20,82.47,82.97,81.25,81.48,1086324,XYL
01/23/20,81.77,82.41,81.33,82.36,1422067,XYL
01/22/20,82.88,83.07,82.09,82.21,844684,XYL
01/21/20,83.0,83.17,82.2,82.4,1156502,XYL
01/17/20,83.47,83.96,83.04,83.46,1203340,XYL
01/16/20,83.01,83.35,82.5,83.16,1117938,XYL
01/15/20,81.21,82.58,81.065,82.45,1109287,XYL
01/14/20,81.21,82.01,81.01,81.37,1372435,XYL
01/13/20,80.23,81.31,80.09,81.28,1264844,XYL
01/10/20,80.25,80.93,79.64,79.94,1361232,XYL
01/09/20,80.02,80.575,79.66,80.13,797518,XYL
01/08/20,79.66,80.365,79.19,79.77,1083205,XYL
01/07/20,79.91,79.91,79.02,79.5,662210,XYL
01/06/20,79.86,79.94,78.91,79.8,817766,XYL
01/03/20,79.03,80.35,78.7,80.32,795139,XYL
01/02/20,79.16,79.95,78.76,79.85,843585,XYL
12/31/19,78.87,79.12,78.24,78.79,491967,XYL
12/30/19,78.89,79.21,78.63,78.74,523845,XYL
12/27/19,78.88,79.13,78.57,78.84,346738,XYL
12/26/19,78.64,79.0,77.96,78.6,427501,XYL
12/24/19,79.0,79.46,78.44,78.64,184585,XYL
12/23/19,78.84,78.97,78.09,78.95,663611,XYL
12/20/19,78.88,79.0,77.62,78.61,1969178,XYL
12/19/19,78.01,78.15,76.77,77.59,830074,XYL
12/18/19,78.1,78.42,77.65,77.91,921467,XYL
12/17/19,77.55,78.4635,77.03,77.98,942158,XYL
12/16/19,78.38,78.68,77.14,77.28,664945,XYL
12/13/19,77.35,78.33,77.1,77.72,738318,XYL
12/12/19,76.87,77.94,76.46,77.66,760932,XYL
12/11/19,76.0,76.86,75.65,76.83,665582,XYL
12/10/19,76.77,76.92,75.38,75.81,911432,XYL
12/09/19,74.95,75.46,74.29,75.4,1095142,XYL
12/06/19,76.07,76.67,75.24,75.32,999463,XYL
12/05/19,74.0,74.94,73.88,74.91,1273239,XYL
12/04/19,76.0,77.38,75.28,75.38,1023398,XYL
12/03/19,75.63,75.94,75.05,75.54,801545,XYL
12/02/19,77.46,78.69,76.55,76.55,920064,XYL
11/29/19,77.39,77.93,77.18,77.51,624225,XYL
11/27/19,77.35,77.7199,76.99,77.61,794740,XYL
11/26/19,76.52,77.22,76.24,77.15,2154548,XYL
11/25/19,77.05,77.09,76.45,76.59,1324403,XYL
11/22/19,77.96,78.05,76.67,76.89,1082398,XYL
11/21/19,77.61,77.96,77.19,77.43,744293,XYL
11/20/19,77.62,78.01,76.72,77.47,1000137,XYL
11/19/19,77.6,78.02,76.91,78.0,929640,XYL
11/18/19,77.29,77.76,76.98,77.31,702814,XYL
11/15/19,77.15,78.16,77.0,77.55,810237,XYL
11/14/19,76.01,77.195,75.77,76.51,874914,XYL
11/13/19,76.58,76.6,75.37,75.77,905347,XYL
11/12/19,75.78,77.33,75.72,76.64,905488,XYL
11/11/19,76.57,76.8,75.24,75.81,914120,XYL
11/08/19,77.18,78.7,77.03,77.33,960884,XYL
11/07/19,78.95,79.0,77.07,77.32,794506,XYL
11/06/19,79.27,79.59,77.23,78.2,963672,XYL
11/05/19,78.54,79.69,78.44,79.67,1298166,XYL
11/04/19,79.24,79.53,78.26,78.65,1143934,XYL
11/01/19,77.48,79.41,76.48,79.12,2921296,XYL
10/31/19,80.0,80.41,76.15,76.69,2109341,XYL
10/30/19,83.97,84.42,83.1343,84.06,966989,XYL
10/29/19,83.44,85.04,83.25,84.77,735811,XYL
10/28/19,83.5,85.665,83.5,84.03,753753,XYL
10/25/19,82.46,83.53,82.12,83.3,713837,XYL
10/24/19,81.9,83.15,80.93,81.98,736544,XYL
10/23/19,81.26,81.97,81.12,81.6,843730,XYL
10/22/19,80.84,81.8,80.55,81.27,743763,XYL
10/21/19,80.26,81.03,79.91,81.01,892695,XYL
10/18/19,78.86,79.92,78.21,79.78,979617,XYL
10/17/19,78.64,79.47,78.53,78.81,626897,XYL
10/16/19,77.74,78.61,77.41,78.18,857372,XYL
10/15/19,77.38,78.83,77.17,78.02,557962,XYL
10/14/19,77.33,77.81,76.94,77.01,561193,XYL
10/11/19,76.53,78.76,76.3713,77.63,667434,XYL
10/10/19,74.58,76.24,74.33,75.43,795963,XYL
10/09/19,74.25,74.91,73.62,74.57,514211,XYL
10/08/19,74.63,74.72800000000001,73.31,73.43,744695,XYL
10/07/19,75.66,76.41,75.42,75.57,675167,XYL
10/04/19,75.22,76.06,74.97,75.97,466856,XYL
10/03/19,74.28,75.14,72.87,75.12,942367,XYL
10/02/19,75.7,75.965,74.53,74.61,959379,XYL
10/01/19,80.09,80.3809,76.37,76.83,850605,XYL
09/30/19,80.34,80.47,79.58,79.62,747956,XYL
09/27/19,79.93,80.43,79.31,80.13,882671,XYL
09/26/19,78.66,79.89,78.56,79.33,869429,XYL
09/25/19,76.81,78.68,76.71,78.56,619191,XYL
09/24/19,77.97,78.59,76.53,76.86,901000,XYL
09/23/19,77.02,77.93,76.81,77.54,549508,XYL
09/20/19,78.35,78.55,77.3,77.48,1444504,XYL
09/19/19,78.3,79.11,77.87,77.95,523106,XYL
09/18/19,78.02,78.45,77.56,78.39,764123,XYL
09/17/19,78.03,78.46,77.72,78.33,647474,XYL
09/16/19,78.22,78.44,77.29,78.06,583751,XYL
09/13/19,78.47,79.37,78.05,78.67,759894,XYL
09/12/19,79.26,79.45,77.87,78.07,766618,XYL
09/11/19,78.55,79.29,78.13,79.29,958352,XYL
09/10/19,77.47,78.35,76.92,78.35,714765,XYL
09/09/19,78.6,78.6,76.28,77.5,677269,XYL
09/06/19,78.28,79.16,78.05,78.39,700991,XYL
09/05/19,76.07,78.07,76.07,77.75,525318,XYL
09/04/19,75.38,75.99,74.73,75.31,741738,XYL
09/03/19,75.84,76.25,74.08,74.64,707986,XYL
08/30/19,77.17,77.37,76.23,76.61,637587,XYL
08/29/19,76.0,76.99,75.66,76.39,850432,XYL
08/28/19,74.06,75.12,73.595,74.99,356922,XYL
08/27/19,74.7,74.83,74.02,74.28,586254,XYL
08/26/19,74.37,74.4,73.35,74.06,504543,XYL
08/23/19,75.14,75.93,73.35,73.74,1040843,XYL
08/22/19,76.59,76.67,75.54,75.57,536212,XYL
08/21/19,76.92,77.04,75.85,75.97,434141,XYL
08/20/19,76.65,76.8,75.88,76.04,513063,XYL
08/19/19,77.79,77.79,76.89,76.9,466987,XYL
08/16/19,75.45,76.72,75.38,76.57,494391,XYL
08/15/19,75.04,75.45,74.45,75.15,674757,XYL
08/14/19,75.95,76.1,74.82,74.88,686270,XYL
08/13/19,75.51,77.79,75.01,77.04,458823,XYL
08/12/19,76.34,76.68,75.55,75.76,720835,XYL
08/09/19,76.86,77.29,76.2952,76.82,782119,XYL
08/08/19,76.46,77.46,76.1,77.21,880678,XYL
08/07/19,74.85,76.28,74.14,76.02,819343,XYL
08/06/19,75.17,76.1,74.78,75.82,991701,XYL
08/05/19,76.21,76.39,73.89,74.6,872569,XYL
08/02/19,77.82,78.04,76.67,77.53,966069,XYL
08/01/19,79.57,81.1,77.94,78.81,2006648,XYL
07/31/19,80.97,81.77,79.61,80.29,839128,XYL
07/30/19,80.22,81.405,80.05,81.12,581238,XYL
07/29/19,81.44,81.52,80.76,80.89,590929,XYL
07/26/19,81.65,82.0,81.08,81.48,569694,XYL
07/25/19,82.89,84.21,81.46,81.67,720317,XYL
07/24/19,81.36,82.515,81.05,82.34,647156,XYL
07/23/19,80.66,81.85,80.2,81.78,666821,XYL
07/22/19,80.87,81.0,80.22,80.33,730962,XYL
07/19/19,80.93,81.41,80.45,80.87,730159,XYL
07/18/19,81.17,81.46,80.1,80.46,692174,XYL
07/17/19,82.61,82.81,81.23,81.3,531605,XYL
07/16/19,81.73,82.94,81.73,82.62,646512,XYL
07/15/19,82.56,82.91,81.72,81.91,485765,XYL
07/12/19,81.26,82.5,81.19,82.5,800472,XYL
07/11/19,80.36,81.18,80.3,81.15,602836,XYL
07/10/19,81.14,81.68,80.18,80.39,642975,XYL
07/09/19,81.25,81.25,80.45,80.98,1005710,XYL
07/08/19,82.62,83.0,81.635,81.7,1347649,XYL
07/05/19,83.09,83.13,81.66,82.84,654869,XYL
07/03/19,83.5,83.5,82.6,83.33,420673,XYL
07/02/19,84.46,84.56,82.64,83.17,1011931,XYL
07/01/19,84.63,85.39,83.79,84.41,770162,XYL
06/28/19,81.96,83.81,81.96,83.64,2211791,XYL
06/27/19,81.63,82.275,81.4,81.86,396202,XYL
06/26/19,81.61,81.995,80.92,81.32,536504,XYL
06/25/19,82.08,82.27,81.52,81.56,843985,XYL
06/24/19,81.93,82.77,81.68,82.1,708504,XYL
06/21/19,83.24,83.27,81.71,81.76,1431434,XYL
06/20/19,82.68,83.33,81.62,83.3,1048515,XYL
06/19/19,81.46,82.31,81.35,81.53,871892,XYL
06/18/19,81.33,82.51,81.06,81.19,1011985,XYL
06/17/19,81.08,81.14,80.47,80.54,534077,XYL
06/14/19,80.94,81.27,79.79,81.08,503939,XYL
06/13/19,80.57,81.13,80.07,81.09,421985,XYL
06/12/19,79.97,80.56,79.64,80.21,372540,XYL
06/11/19,81.15,81.43,79.83,80.0,707979,XYL
06/10/19,79.97,80.76,79.91,80.38,358630,XYL
06/07/19,79.7,80.15,78.7,79.56,606412,XYL
06/06/19,79.07,79.44,78.62,79.15,740818,XYL
06/05/19,77.95,79.3,77.55,78.88,1014755,XYL
06/04/19,76.47,77.42,75.5,77.4,898962,XYL
06/03/19,74.33,75.87,74.16,75.72,1393011,XYL
05/31/19,73.38,74.38,73.38,74.22,800380,XYL
05/30/19,74.03,75.15,73.83,74.13,359416,XYL
05/29/19,73.95,75.1,73.815,73.97,1023837,XYL
05/28/19,74.45,75.72,74.24,74.24,994140,XYL
05/24/19,74.56,74.89,73.82,73.93,818450,XYL
05/23/19,74.8,75.16,73.41,74.07,902015,XYL
05/22/19,75.51,75.79,75.23,75.43,447549,XYL
05/21/19,75.12,76.0,75.12,75.77,424045,XYL
05/20/19,74.74,75.18,74.24,74.5,674390,XYL
05/17/19,75.78,76.23,75.18,75.22,877690,XYL
05/16/19,76.93,77.17,76.17,76.26,1024113,XYL
05/15/19,75.18,76.85,74.94,76.45,598465,XYL
05/14/19,76.13,77.45,75.38,75.51,1427256,XYL
05/13/19,76.45,76.91,75.82,76.8,1040458,XYL
