Date, Open, High, Low, Close, Volume,ticker
12/24/20,382.28,382.28,371.4,376.89,138272,ZBRA
12/23/20,382.61,384.6,377.44,379.74,191070,ZBRA
12/22/20,377.5,387.28,375.66,379.96,474566,ZBRA
12/21/20,366.0,376.73,363.0,375.91,505644,ZBRA
12/18/20,377.43,378.5,369.195,373.0,900630,ZBRA
12/17/20,378.0,380.13,372.21,375.43,819547,ZBRA
12/16/20,382.11,383.04,375.23,377.41,474327,ZBRA
12/15/20,388.07,388.9236,380.0,383.45,311686,ZBRA
12/14/20,379.84,386.74,379.84,383.46,309212,ZBRA
12/11/20,372.78,378.6,370.3401,377.56,162063,ZBRA
12/10/20,372.81,378.94,369.2901,375.14,292363,ZBRA
12/09/20,377.9,382.9553,374.4028,376.87,215348,ZBRA
12/08/20,373.63,377.25,371.27,375.84,207548,ZBRA
12/07/20,378.28,379.85,372.51,373.83,321179,ZBRA
12/04/20,376.02,380.95,375.0,378.47,255901,ZBRA
12/03/20,368.0,374.71,366.02,372.37,263549,ZBRA
12/02/20,370.71,373.01,364.565,367.21,385577,ZBRA
12/01/20,381.63,382.71,370.83,372.17,403780,ZBRA
11/30/20,378.48,380.22,369.01,378.42,603322,ZBRA
11/27/20,377.02,381.205,375.12,377.0,206044,ZBRA
11/25/20,375.689,379.91,369.29,372.73,345103,ZBRA
11/24/20,368.83,378.82,362.36,373.47,566758,ZBRA
11/23/20,367.1,368.79,358.55,362.69,590896,ZBRA
11/20/20,363.42,363.42,354.16,354.99,698917,ZBRA
11/19/20,336.01,367.66,333.06,358.39,1189739,ZBRA
11/18/20,343.119,343.94,337.57,337.58,211381,ZBRA
11/17/20,341.77,342.54,338.5,340.79,323286,ZBRA
11/16/20,347.94,348.4175,342.09,345.98,292721,ZBRA
11/13/20,344.35,347.73,341.68,345.86,228863,ZBRA
11/12/20,353.67,354.29,339.7738,340.78,316723,ZBRA
11/11/20,348.67,356.73,345.62,356.27,297102,ZBRA
11/10/20,352.55,356.61,341.18,345.02,553120,ZBRA
11/09/20,356.99,362.58,352.47,352.71,490003,ZBRA
11/06/20,340.18,348.44,338.59,346.43,370253,ZBRA
11/05/20,333.83,343.83,332.86,340.12,398975,ZBRA
11/04/20,320.42,329.66,317.15,329.18,423481,ZBRA
11/03/20,314.9,322.9,305.5598,319.22,571704,ZBRA
11/02/20,289.41,294.97,287.49,293.07,510736,ZBRA
10/30/20,290.0,290.97,281.02,283.64,304394,ZBRA
10/29/20,284.72,294.01,282.9407,291.97,263022,ZBRA
10/28/20,284.47,287.39,282.08,285.2,300175,ZBRA
10/27/20,295.08,295.08,287.19,289.28,351565,ZBRA
10/26/20,299.9,302.325,293.94,295.1,250771,ZBRA
10/23/20,303.0,304.57,298.23,303.72,293546,ZBRA
10/22/20,293.8,301.33,292.25,300.91,321708,ZBRA
10/21/20,295.29,300.33,291.19,291.86,233052,ZBRA
10/20/20,293.24,300.0,292.655,294.83,211050,ZBRA
10/19/20,292.2,299.3608,291.28,291.57,347565,ZBRA
10/16/20,289.96,295.37,289.24,293.0,218790,ZBRA
10/15/20,280.38,287.33,280.38,287.31,204296,ZBRA
10/14/20,288.65,290.695,281.87,284.77,345591,ZBRA
10/13/20,288.83,290.75,286.19,286.73,227405,ZBRA
10/12/20,287.24,289.3,286.245,288.25,277856,ZBRA
10/09/20,281.63,284.25,280.99,284.0,216223,ZBRA
10/08/20,277.73,281.4,277.73,279.09,221290,ZBRA
10/07/20,274.01,278.305,272.83,276.58,279130,ZBRA
10/06/20,267.14,273.49,267.14,269.97,378267,ZBRA
10/05/20,261.09,268.47,260.4,268.01,375199,ZBRA
10/02/20,252.52,259.21,252.52,258.81,354539,ZBRA
10/01/20,256.81,259.15,254.34,258.48,461331,ZBRA
09/30/20,258.07,259.385,250.45,252.46,596371,ZBRA
09/29/20,262.21,263.09,257.63,258.92,191952,ZBRA
09/28/20,261.06,264.025,259.05,260.56,272735,ZBRA
09/25/20,251.91,258.7,250.045,257.46,250591,ZBRA
09/24/20,247.31,252.72,247.31,250.67,215686,ZBRA
09/23/20,253.86,254.99,249.4,249.58,308537,ZBRA
09/22/20,251.0,252.86,246.83,252.28,388570,ZBRA
09/21/20,251.02,255.96,247.47,248.73,369558,ZBRA
09/18/20,255.95,260.69,253.82,256.15,537906,ZBRA
09/17/20,250.73,256.38,249.4,256.18,289653,ZBRA
09/16/20,260.1,260.2,253.35,254.15,277322,ZBRA
09/15/20,254.18,259.37,253.12,257.46,251966,ZBRA
09/14/20,253.43,255.58,249.025,251.26,302976,ZBRA
09/11/20,252.58,253.22,249.51,249.96,225921,ZBRA
09/10/20,255.0,257.9,248.72,249.44,535581,ZBRA
09/09/20,260.28,262.5537,253.74,255.11,519855,ZBRA
09/08/20,254.55,255.61,247.7,249.26,556708,ZBRA
09/04/20,268.85,271.29,257.3108,260.55,354687,ZBRA
09/03/20,291.16,291.16,267.24,269.25,416842,ZBRA
09/02/20,289.16,295.525,286.1,294.36,360527,ZBRA
09/01/20,287.3,287.471,283.91,287.16,254945,ZBRA
08/31/20,281.29,287.15,281.05,286.53,340661,ZBRA
08/28/20,278.3,280.5,277.7,280.16,259726,ZBRA
08/27/20,287.23,287.71,275.53,277.26,267423,ZBRA
08/26/20,278.21,286.17,278.01,284.74,320502,ZBRA
08/25/20,276.22,281.185,274.45,277.86,328288,ZBRA
08/24/20,279.37,284.5537,274.36,275.39,256117,ZBRA
08/21/20,277.41,277.41,273.67,275.33,234951,ZBRA
08/20/20,282.56,282.7,275.29,276.55,182702,ZBRA
08/19/20,282.92,285.25,281.4003,283.13,249117,ZBRA
08/18/20,278.61,285.29,278.61,281.96,317287,ZBRA
08/17/20,288.49,291.3,286.0,286.74,214799,ZBRA
08/14/20,284.78,286.22,282.9,286.03,163777,ZBRA
08/13/20,283.22,285.95,282.37,285.61,142834,ZBRA
08/12/20,281.97,284.63,280.32,284.01,239636,ZBRA
08/11/20,282.02,284.04,279.675,280.57,183312,ZBRA
08/10/20,282.84,283.98,277.615,280.41,223234,ZBRA
08/07/20,284.73,285.02,281.26,283.04,195110,ZBRA
08/06/20,285.18,288.2425,284.0,286.73,241508,ZBRA
08/05/20,286.32,289.1,284.03,288.84,228570,ZBRA
08/04/20,280.9,285.11,279.56,284.68,307353,ZBRA
08/03/20,283.42,283.42,278.41,280.72,244467,ZBRA
07/31/20,275.75,281.23,274.385,280.75,472756,ZBRA
07/30/20,271.59,275.71,269.79,274.95,205745,ZBRA
07/29/20,274.31,278.7,272.61,273.85,404593,ZBRA
07/28/20,287.83,287.83,270.53,271.18,458347,ZBRA
07/27/20,270.96,275.315,270.125,273.34,347600,ZBRA
07/24/20,272.0,273.27,267.3,269.98,423067,ZBRA
07/23/20,275.51,277.64,272.72,275.71,261027,ZBRA
07/22/20,272.75,278.795,272.75,277.0,244471,ZBRA
07/21/20,277.19,279.99,272.33,273.28,256483,ZBRA
07/20/20,274.52,276.72,271.09,276.36,251424,ZBRA
07/17/20,269.1,274.54,269.1,273.1,258735,ZBRA
07/16/20,267.47,269.12,264.68,267.66,287167,ZBRA
07/15/20,272.22,273.23,264.07,268.16,272461,ZBRA
07/14/20,257.08,266.79,256.69,266.47,313571,ZBRA
07/13/20,264.91,265.3,255.07,255.5,211834,ZBRA
07/10/20,264.11,264.11,255.32,260.67,261040,ZBRA
07/09/20,260.9,264.58,258.03,262.01,324893,ZBRA
07/08/20,254.04,257.23,253.56099999999998,257.21,278783,ZBRA
07/07/20,260.84,261.9,253.82,254.26,280888,ZBRA
07/06/20,260.0,263.85,258.015,261.63,286224,ZBRA
07/02/20,256.49,259.73,254.355,255.04,228645,ZBRA
07/01/20,256.47,256.93,250.95,251.23,224250,ZBRA
06/30/20,252.75,258.06,251.65,255.95,344478,ZBRA
06/29/20,246.96,253.32,244.32,252.05,237568,ZBRA
06/26/20,253.5,256.78,244.6,246.42,813808,ZBRA
06/25/20,248.99,253.93,247.62,253.64,232091,ZBRA
06/24/20,259.84,260.21,246.6,250.5,370074,ZBRA
06/23/20,266.15,266.15,260.29,260.77,292892,ZBRA
06/22/20,262.44,265.14,259.14,261.79,307127,ZBRA
06/19/20,268.08,268.08,253.46,264.41,986989,ZBRA
06/18/20,260.29,263.335,257.81,262.23,188347,ZBRA
06/17/20,266.09,267.5159,260.25,260.82,236085,ZBRA
06/16/20,267.09,269.67,261.0,266.46,244466,ZBRA
06/15/20,251.63,259.48,249.1,259.41,307122,ZBRA
06/12/20,258.99,260.075,253.05599999999998,258.33,305222,ZBRA
06/11/20,259.83,260.7954,249.62,250.19,349260,ZBRA
06/10/20,270.46,271.1769,266.835,267.08,232368,ZBRA
06/09/20,273.28,275.546,269.97,270.32,315980,ZBRA
06/08/20,273.59,278.6,271.99,277.06,284179,ZBRA
06/05/20,265.17,278.55,263.89,277.55,438179,ZBRA
06/04/20,266.97,267.36,259.26,261.17,345104,ZBRA
06/03/20,267.48,272.0,265.04,269.02,334385,ZBRA
06/02/20,265.938,267.075,261.66,264.09,266011,ZBRA
06/01/20,259.33,266.22,258.02,264.97,294137,ZBRA
05/29/20,257.86,261.99,254.1,261.32,490691,ZBRA
05/28/20,258.24,263.69,256.915,257.42,335017,ZBRA
05/27/20,257.29,261.24,254.12,258.67,501867,ZBRA
05/26/20,250.0,259.35,246.69,255.96,558931,ZBRA
05/22/20,243.75,245.545,240.46,243.54,301558,ZBRA
05/21/20,242.09,246.3489,241.01,244.15,286909,ZBRA
05/20/20,242.0,243.17,239.99,241.49,369871,ZBRA
05/19/20,236.11,243.93,235.775,240.55,489905,ZBRA
05/18/20,226.5,237.34,223.86,235.8,571098,ZBRA
05/15/20,219.35,220.76,216.65,217.8,383086,ZBRA
05/14/20,219.49,222.125,215.52,221.77,457007,ZBRA
05/13/20,230.92,231.56,220.52,223.08,445778,ZBRA
05/12/20,236.86,238.88,230.07,230.2,299052,ZBRA
05/11/20,237.13,239.92,234.38,235.26,339249,ZBRA
05/08/20,236.0,243.33,235.2706,242.92,270549,ZBRA
05/07/20,235.0,237.305,231.66,233.86,276195,ZBRA
05/06/20,232.98,235.54,231.2995,232.42,219057,ZBRA
05/05/20,229.73,235.75,229.73,233.15,349746,ZBRA
05/04/20,223.14,228.77,220.16,228.77,346885,ZBRA
05/01/20,225.48,226.995,222.6,225.55,349635,ZBRA
04/30/20,229.13,236.77,225.0,229.66,578500,ZBRA
04/29/20,232.49,248.21,231.51,244.97,640792,ZBRA
04/28/20,235.55,238.225,227.08,228.48,915633,ZBRA
04/27/20,210.46,223.66,209.91,220.93,560398,ZBRA
04/24/20,202.34,208.795,200.675,208.62,418502,ZBRA
04/23/20,200.36,207.865,200.36,200.97,436891,ZBRA
04/22/20,198.19,200.42,194.17,199.41,498841,ZBRA
04/21/20,197.89,199.46,192.42,192.85,379183,ZBRA
04/20/20,201.45,207.395,201.0,202.35,381535,ZBRA
04/17/20,204.67,208.605,201.42,202.98,382433,ZBRA
04/16/20,199.71,202.79,196.72,201.6,387726,ZBRA
04/15/20,202.34,202.98,196.24,196.81,389083,ZBRA
04/14/20,204.37,210.28,200.15,206.88,358835,ZBRA
04/13/20,201.02,202.6,195.0,197.91,331738,ZBRA
04/09/20,198.83,202.49,197.17,201.22,529255,ZBRA
04/08/20,195.74,198.96,192.2335,196.65,252288,ZBRA
04/07/20,199.7,200.38,191.61,192.36,413610,ZBRA
04/06/20,184.775,193.6,184.51,191.85,300466,ZBRA
04/03/20,173.02,179.76,172.01,178.08,598571,ZBRA
04/02/20,173.87,179.75,170.63,174.24,599818,ZBRA
04/01/20,177.56,179.13,174.02,176.46,606045,ZBRA
03/31/20,186.79,189.49,182.1,183.6,520980,ZBRA
03/30/20,186.21,190.36,180.68,188.35,323920,ZBRA
03/27/20,192.71,192.71,180.63,184.57,390691,ZBRA
03/26/20,187.83,197.92,185.96,197.51,505465,ZBRA
03/25/20,180.03,195.19,175.6047,186.23,505364,ZBRA
03/24/20,180.09,181.8,167.17,180.55,813418,ZBRA
03/23/20,179.85,181.95,163.4411,170.72,1176140,ZBRA
03/20/20,186.07,189.86,177.08,179.38,1701578,ZBRA
03/19/20,181.86,186.22,169.3,185.07,1202036,ZBRA
03/18/20,167.74,186.94,166.34,185.47,803185,ZBRA
03/17/20,170.2,182.7375,167.3301,180.66,564428,ZBRA
03/16/20,155.0,172.18,150.06,166.08,800298,ZBRA
03/13/20,174.51,184.1,163.445,184.02,659397,ZBRA
03/12/20,177.23,178.9705,161.42,161.51,1028548,ZBRA
03/11/20,196.3,199.67,187.685,191.3,516883,ZBRA
03/10/20,192.22,202.5,189.15,202.19,909918,ZBRA
03/09/20,188.4,190.94,183.89,185.26,770284,ZBRA
03/06/20,197.88,204.19,195.926,202.74,647281,ZBRA
03/05/20,209.5,212.73,200.81,203.76,564893,ZBRA
03/04/20,211.93,216.09,205.52,216.04,559020,ZBRA
03/03/20,220.27,227.11,208.34,209.31,950121,ZBRA
03/02/20,212.67,221.87,210.34,221.71,603012,ZBRA
02/28/20,206.71,211.82,204.73,210.97,946160,ZBRA
02/27/20,212.11,217.95,206.49,213.93,1021289,ZBRA
02/26/20,222.16,225.06,216.9,217.81,549472,ZBRA
02/25/20,230.45,231.65,219.57,220.0,544755,ZBRA
02/24/20,229.99,232.675,227.4,227.4,572678,ZBRA
02/21/20,241.4,242.08,235.12,238.39,500907,ZBRA
02/20/20,240.61,243.34,237.39,242.72,443071,ZBRA
02/19/20,238.43,242.54,236.86,240.5,423380,ZBRA
02/18/20,239.14,239.66,232.7,236.66,521626,ZBRA
02/14/20,238.59,241.85,235.1,238.77,921801,ZBRA
02/13/20,232.0,237.75,226.18,233.32,1783575,ZBRA
02/12/20,249.29,252.27200000000002,246.41,251.99,378070,ZBRA
