Date, Open, High, Low, Close, Volume,ticker
12/24/20,43.62,43.62,42.66,43.34,327699,ZION
12/23/20,42.29,43.7,42.29,43.51,706770,ZION
12/22/20,42.51,42.86,42.03,42.04,1077766,ZION
12/21/20,41.26,42.56,40.88,42.43,2265110,ZION
12/18/20,41.615,41.86,40.76,41.08,3030994,ZION
12/17/20,41.92,42.22,41.11,41.87,1435000,ZION
12/16/20,41.62,42.04,41.15,41.87,1681555,ZION
12/15/20,41.24,41.62,40.54,41.61,1477575,ZION
12/14/20,42.51,42.58,40.69,40.71,1531336,ZION
12/11/20,41.38,42.11,41.27,41.68,1673152,ZION
12/10/20,42.17,42.875,41.9,42.64,1051398,ZION
12/09/20,43.44,43.85,42.63,42.72,1662225,ZION
12/08/20,41.9,43.185,41.81,42.96,1507585,ZION
12/07/20,43.94,43.94,42.83,42.91,1731255,ZION
12/04/20,44.15,44.3,43.0,44.015,2967911,ZION
12/03/20,41.77,42.75,41.51,42.42,2379814,ZION
12/02/20,40.0,41.65,39.96,41.6,3058496,ZION
12/01/20,39.53,40.16,39.04,40.07,2456039,ZION
11/30/20,39.36,39.8,38.44,38.59,12464100,ZION
11/27/20,40.44,41.02,39.3,39.46,2027906,ZION
11/25/20,40.88,41.05,40.31,40.95,2633857,ZION
11/24/20,40.44,42.24,40.06,41.86,2579561,ZION
11/23/20,38.95,39.635,38.72,39.56,1872544,ZION
11/20/20,38.012,38.54,37.67,38.285,2011376,ZION
11/19/20,38.35,38.7,37.72,38.39,1993586,ZION
11/18/20,39.96,40.14,38.93,38.94,1552506,ZION
11/17/20,38.74,39.705,38.44,39.6,1812851,ZION
11/16/20,40.335,40.78,38.91,39.75,2137953,ZION
11/13/20,36.75,37.79,36.35,37.48,1486420,ZION
11/12/20,36.24,36.94,35.74,36.33,1748354,ZION
11/11/20,38.78,39.0,36.49,37.24,2713875,ZION
11/10/20,39.63,39.88,38.46,38.98,2506221,ZION
11/09/20,35.0,40.895,34.96,39.58,5289529,ZION
11/06/20,32.92,33.21,31.72,31.95,1755999,ZION
11/05/20,31.15,32.81,31.1,32.58,2190844,ZION
11/04/20,32.34,32.84,30.605,30.94,4176342,ZION
