Date, Open, High, Low, Close, Volume,ticker
12/24/20,383.88,384.88,375.0,375.17,3850734,ZM
12/23/20,402.0,402.6,378.58,383.88,9554390,ZM
12/22/20,408.5,413.5,396.5,409.0,4218767,ZM
12/21/20,418.07,427.7594,404.58,408.97,8557350,ZM
12/18/20,403.8,408.11,398.25,406.01,6174772,ZM
12/17/20,408.72,409.03,399.56,401.62,3792528,ZM
12/16/20,400.4861,406.5579,393.46,404.0,4158539,ZM
12/15/20,398.505,410.32,395.08,399.43,5144653,ZM
12/14/20,388.95,396.75,376.68,395.99,6820120,ZM
12/11/20,395.35,397.3393,384.6136,397.01,4677441,ZM
12/10/20,382.73,399.0,380.27,397.96,4572146,ZM
12/09/20,406.74800000000005,409.99,381.5,385.36,8956659,ZM
12/08/20,408.87,419.5,406.75,412.0,5319440,ZM
12/07/20,411.0,416.8,405.4538,407.85,4427276,ZM
12/04/20,409.26,418.88,408.1861,410.01,4447314,ZM
12/03/20,413.0,419.17,405.02,413.54,6306724,ZM
12/02/20,399.0,424.55,394.57,412.86,10962840,ZM
12/01/20,434.72,434.99,401.72,406.31,20916100,ZM
11/30/20,485.7,486.83,460.0,478.36,16646500,ZM
11/27/20,453.99,472.04,449.0,471.61,7276411,ZM
11/25/20,435.85,448.48,433.3301,443.72,8763739,ZM
11/24/20,421.505,438.8323,420.01,427.55,6148416,ZM
11/23/20,432.01,436.51300000000003,417.88,430.28,8486030,ZM
11/20/20,418.55,445.3,415.56,439.6,12586600,ZM
11/19/20,408.99,427.89,407.5,414.29,8007026,ZM
11/18/20,399.0,423.5,390.22,415.04,10974220,ZM
11/17/20,406.29,411.5,396.32,401.63,6972081,ZM
11/16/20,382.6,400.8,375.1,399.15,12054430,ZM
11/13/20,425.99,428.4685,396.87,403.58,11773790,ZM
11/12/20,427.85,435.75,419.61,428.64,14935980,ZM
11/11/20,391.65,419.8,385.0,413.34,16691080,ZM
11/10/20,412.504,414.45,366.28,376.01,20751949,ZM
11/09/20,433.0,446.47,402.0,413.24,18033551,ZM
11/06/20,494.66,505.88,482.73,500.11,4265950,ZM
11/05/20,497.99,499.35,480.76099999999997,496.73,6379939,ZM
11/04/20,471.92,484.94,455.4,483.7,8048450,ZM
11/03/20,456.32800000000003,461.88,445.01,451.51,6496995,ZM
11/02/20,462.29,477.0,440.0,453.0,8051893,ZM
10/30/20,481.5,495.95,457.0201,460.91,8715083,ZM
10/29/20,521.19,525.455,483.5,489.68,9207566,ZM
10/28/20,549.5,553.8594,511.5001,516.01,8810070,ZM
10/27/20,525.22,540.0,513.3,538.99,7227645,ZM
10/26/20,520.489,541.105,510.31,517.79,10080800,ZM
10/23/20,522.33,526.9999,505.41,511.52,5377118,ZM
10/22/20,521.78,530.4299,503.47,520.54,8100869,ZM
10/21/20,535.88,551.66,511.78,513.19,9215428,ZM
10/20/20,572.33,575.69,534.59,537.02,12098180,ZM
10/19/20,572.5,588.84,562.55,568.34,15193230,ZM
10/16/20,544.0,565.45,543.25,559.0,13745750,ZM
10/15/20,509.08,540.05,506.5,536.4,16520600,ZM
