Date, Open, High, Low, Close, Volume,ticker
12/24/20,159.92,161.8699,159.85,160.72,417444,ZTS
12/23/20,162.0,162.98,159.84,159.85,1164579,ZTS
12/22/20,160.53,162.375,159.64,161.83,1209169,ZTS
12/21/20,160.74,161.56,158.3,160.84,1463787,ZTS
12/18/20,162.65,164.54,161.05,163.63,3566379,ZTS
12/17/20,161.89,163.97,161.24,162.7,1486986,ZTS
12/16/20,162.36,163.33,160.54,160.62,1440917,ZTS
12/15/20,160.29,162.11,158.36,161.96,1813106,ZTS
12/14/20,160.1,162.87,159.085,159.5,1613027,ZTS
12/11/20,157.55,159.62,157.16,159.53,1260587,ZTS
12/10/20,159.45,160.47,157.89,158.12,1847099,ZTS
12/09/20,159.69,160.165,157.66,158.7,1510417,ZTS
12/08/20,156.87,159.5,156.47,158.99,1593866,ZTS
12/07/20,157.56,159.2,157.56,158.45,1407087,ZTS
12/04/20,157.16,158.22,156.66,157.95,1497282,ZTS
12/03/20,158.58,159.085,156.44,157.07,2308205,ZTS
12/02/20,161.0,161.835,158.48,158.95,1529397,ZTS
12/01/20,161.64,162.48,159.985,161.36,1957143,ZTS
11/30/20,162.48,162.48,159.65,160.38,4533958,ZTS
11/27/20,161.62,162.185,160.29,161.47,853298,ZTS
11/25/20,161.99,162.68,159.245,160.19,1981777,ZTS
11/24/20,164.39,166.25,160.47,161.06,2425927,ZTS
11/23/20,166.15,167.21,162.14,164.34,1493220,ZTS
11/20/20,166.86,168.16,166.14,166.2,1217711,ZTS
11/19/20,164.07,166.94,163.54,166.31,1329244,ZTS
11/18/20,165.1,166.33,163.42,163.5,1457816,ZTS
11/17/20,164.49,166.11,164.07,165.43,1214325,ZTS
11/16/20,166.37,168.52,164.6,165.29,1548060,ZTS
11/13/20,165.46,167.025,164.51,165.78,1666613,ZTS
11/12/20,164.16,166.6,163.79,165.19,1182848,ZTS
11/11/20,164.99,165.92,163.33,164.95,1570153,ZTS
11/10/20,166.04,166.9599,160.485,162.56,2926603,ZTS
11/09/20,175.46,176.41,165.01,165.2,2325476,ZTS
11/06/20,172.0,172.62,166.26,169.25,2008167,ZTS
11/05/20,174.675,176.64,170.38,170.9,2539305,ZTS
11/04/20,165.99,176.17,165.97,174.35,3403777,ZTS
11/03/20,164.64,165.49,162.9,163.14,1519516,ZTS
11/02/20,161.31,163.26,160.71,162.89,1516572,ZTS
10/30/20,160.02,161.32,156.25,158.55,2078341,ZTS
10/29/20,159.46,162.45,158.13,161.19,1539036,ZTS
10/28/20,159.76,161.5135,158.16,158.69,2160674,ZTS
10/27/20,160.84,164.48,160.625,162.47,1851025,ZTS
10/26/20,162.0,162.95,158.96,160.48,1151627,ZTS
